山西联通-组播1,#genre#
山东卫视,http://183.184.42.60:8001/rtp/226.0.2.51:8320
山东教育,http://183.184.42.60:8001/rtp/226.0.2.130:8952
广东卫视,http://183.184.42.60:8001/rtp/226.0.2.146:9080
广东卫视,http://183.184.42.60:8001/rtp/226.0.2.45:8272
广西卫视,http://183.184.42.60:8001/rtp/226.0.2.231:9760
广西卫视,http://183.184.42.60:8001/rtp/226.0.2.46:8280
新疆卫视,http://183.184.42.60:8001/rtp/226.0.2.67:8448
江苏卫视,http://183.184.42.60:8001/rtp/226.0.2.176:9320
江苏卫视,http://183.184.42.60:8001/rtp/226.0.2.38:8216
江西卫视,http://183.184.42.60:8001/rtp/226.0.2.198:9496
江西卫视,http://183.184.42.60:8001/rtp/226.0.2.54:8344
河北卫视,http://183.184.42.60:8001/rtp/226.0.2.178:9336
河北卫视,http://183.184.42.60:8001/rtp/226.0.2.65:8432
河南卫视,http://183.184.42.60:8001/rtp/226.0.2.195:9472
河南卫视,http://183.184.42.60:8001/rtp/226.0.2.52:8328
浙江卫视,http://183.184.42.60:8001/rtp/226.0.2.144:9064
浙江卫视,http://183.184.42.60:8001/rtp/226.0.2.36:8200
海南卫视,http://183.184.42.60:8001/rtp/226.0.2.212:9608
海南卫视,http://183.184.42.60:8001/rtp/226.0.2.61:8400
深圳卫视,http://183.184.42.60:8001/rtp/226.0.2.147:9088
深圳卫视,http://183.184.42.60:8001/rtp/226.0.2.47:8288
湖北卫视,http://183.184.42.60:8001/rtp/226.0.2.150:9112
湖北卫视,http://183.184.42.60:8001/rtp/226.0.2.49:8304
湖南卫视,http://183.184.42.60:8001/rtp/226.0.2.143:9056
湖南卫视,http://183.184.42.60:8001/rtp/226.0.2.33:8176
甘肃卫视,http://183.184.42.60:8001/rtp/226.0.2.55:8352
西藏卫视,http://183.184.42.60:8001/rtp/226.0.2.66:8440
贵州卫视,http://183.184.42.60:8001/rtp/226.0.2.180:9352
贵州卫视,http://183.184.42.60:8001/rtp/226.0.2.43:8256
辽宁卫视,http://183.184.42.60:8001/rtp/226.0.2.173:9296
辽宁卫视,http://183.184.42.60:8001/rtp/226.0.2.35:8192
重庆卫视,http://183.184.42.60:8001/rtp/226.0.2.174:9304
重庆卫视,http://183.184.42.60:8001/rtp/226.0.2.50:8312
陕西卫视,http://183.184.42.60:8001/rtp/226.0.2.53:8336
青海卫视,http://183.184.42.60:8001/rtp/226.0.2.59:8384
黑龙江卫视,http://183.184.42.60:8001/rtp/226.0.2.151:9120
黑龙江卫视,http://183.184.42.60:8001/rtp/226.0.2.48:8296
山西卫视,http://183.184.42.60:8001/rtp/226.0.2.11:8000
山西卫视,http://183.184.42.60:8001/rtp/226.0.2.152:9128
黄河卫视,http://183.184.42.60:8001/rtp/226.0.2.12:8008
黄河卫视,http://183.184.42.60:8001/rtp/226.0.2.235:9792
山西影视,http://183.184.42.60:8001/rtp/226.0.2.14:8024
