浙江电信-组播1,#genre#
CCTV-1 综合,http://dous.cc:4023/udp/233.50.200.248:5140$576p
CCTV-1 综合,http://dous.cc:4023/udp/233.50.200.72:5140$576p
CCTV-1 综合,http://dous.cc:4023/udp/233.50.200.99:5140$1080p
CCTV-1 综合,http://dous.cc:4023/udp/233.50.201.118:5140
CCTV-1 综合,http://dous.cc:4023/udp/233.50.201.1:5140$576p
CCTV-1 综合,http://dous.cc:4023/udp/233.50.201.221:5140
CCTV-1 综合,http://dous.cc:4023/udp/233.50.201.222:5140
CCTV-2 财经,http://dous.cc:4023/udp/233.50.200.100:5140$1080p
CCTV-2 财经,http://dous.cc:4023/udp/233.50.200.25:5140$1080p
CCTV-2 财经,http://dous.cc:4023/udp/233.50.200.47:5140$576p
CCTV-2 财经,http://dous.cc:4023/udp/233.50.201.119:5140
CCTV-2 财经,http://dous.cc:4023/udp/233.50.201.2:5140$576p
CCTV-3 综艺,http://dous.cc:4023/udp/233.50.200.107:5140$1080p
CCTV-3 综艺,http://dous.cc:4023/udp/233.50.201.196:5140
CCTV-4 中文国际,http://dous.cc:4023/udp/233.50.200.101:5140$1080p
CCTV-4 中文国际,http://dous.cc:4023/udp/233.50.200.51:5140$576p
CCTV-4 中文国际,http://dous.cc:4023/udp/233.50.201.127:5140$1080p
CCTV-4 中文国际,http://dous.cc:4023/udp/233.50.201.4:5140
CCTV-4 中文国际,http://dous.cc:4023/udp/233.50.202.38:5140
CCTV-5 体育,http://dous.cc:4023/udp/233.50.200.108:5140$1080p
CCTV-5 体育,http://dous.cc:4023/udp/233.50.201.17:5140$576p
CCTV-5 体育,http://dous.cc:4023/udp/233.50.201.197:5140
CCTV-5 体育,http://dous.cc:4023/udp/233.50.201.227:5140
CCTV-5 体育,http://dous.cc:4023/udp/233.50.201.108:5140
CCTV-5+ 体育赛事,http://dous.cc:4023/udp/233.50.201.220:5140
CCTV-6 电影,http://dous.cc:4023/udp/233.50.200.109:5140$1080p
CCTV-6 电影,http://dous.cc:4023/udp/233.50.201.18:5140$576p
CCTV-6 电影,http://dous.cc:4023/udp/233.50.201.198:5140
CCTV-7 国防军事,http://dous.cc:4023/udp/233.50.200.102:5140$1080p
CCTV-7 国防军事,http://dous.cc:4023/udp/233.50.200.24:5140$1080p
CCTV-7 国防军事,http://dous.cc:4023/udp/233.50.200.48:5140$576p
CCTV-7 国防军事,http://dous.cc:4023/udp/233.50.201.120:5140
CCTV-7 国防军事,http://dous.cc:4023/udp/233.50.201.7:5140
CCTV-8 电视剧,http://dous.cc:4023/udp/233.50.200.110:5140$1080p
CCTV-8 电视剧,http://dous.cc:4023/udp/233.50.201.199:5140
CCTV-8 电视剧,http://dous.cc:4023/udp/233.50.201.19:5140$576p
CCTV-9 纪录,http://dous.cc:4023/udp/233.50.200.23:5140$1080p
CCTV-9 纪录,http://dous.cc:4023/udp/233.50.201.121:5140
CCTV-10 科教,http://dous.cc:4023/udp/233.50.200.22:5140$1080p
CCTV-10 科教,http://dous.cc:4023/udp/233.50.200.87:5140$576p
CCTV-10 科教,http://dous.cc:4023/udp/233.50.201.10:5140$576p
CCTV-10 科教,http://dous.cc:4023/udp/233.50.201.122:5140
CCTV-11 戏曲,http://dous.cc:4023/udp/233.50.200.132:5140$1080p
CCTV-11 戏曲,http://dous.cc:4023/udp/233.50.200.88:5140$576p
CCTV-11 戏曲,http://dous.cc:4023/udp/233.50.201.11:5140$576p
CCTV-11 戏曲,http://dous.cc:4023/udp/233.50.202.39:5140
CCTV-12 社会与法,http://dous.cc:4023/udp/233.50.200.21:5140$1080p
CCTV-12 社会与法,http://dous.cc:4023/udp/233.50.200.90:5140$576p
CCTV-12 社会与法,http://dous.cc:4023/udp/233.50.201.123:5140
CCTV-12 社会与法,http://dous.cc:4023/udp/233.50.201.12:5140
CCTV-13 新闻,http://dous.cc:4023/udp/233.50.200.111:5140$1080p
CCTV-13 新闻,http://dous.cc:4023/udp/233.50.200.49:5140$576p
CCTV-13 新闻,http://dous.cc:4023/udp/233.50.200.97:5140$1080p
CCTV-13 新闻,http://dous.cc:4023/udp/233.50.201.13:5140$576p
CCTV-13 新闻,http://dous.cc:4023/udp/233.50.201.246:5140
CCTV-14 少儿,http://dous.cc:4023/udp/233.50.200.103:5140$1080p
CCTV-14 少儿,http://dous.cc:4023/udp/233.50.200.20:5140$1080p
CCTV-14 少儿,http://dous.cc:4023/udp/233.50.200.50:5140$576p
CCTV-14 少儿,http://dous.cc:4023/udp/233.50.201.124:5140
CCTV-14 少儿,http://dous.cc:4023/udp/233.50.201.14:5140$576p
CCTV-15 音乐,http://dous.cc:4023/udp/233.50.200.133:5140$1080p
CCTV-15 音乐,http://dous.cc:4023/udp/233.50.200.91:5140$576p
CCTV-15 音乐,http://dous.cc:4023/udp/233.50.201.15:5140$576p
CCTV-15 音乐,http://dous.cc:4023/udp/233.50.202.40:5140
CCTV-16 奥林匹克,http://dous.cc:4023/udp/233.50.200.112:5140$1080p
CCTV-16 奥林匹克,http://dous.cc:4023/udp/233.50.201.192:5140
CCTV-16 奥林匹克,http://dous.cc:4023/udp/233.50.201.63:5140
CCTV-17 农业农村,http://dous.cc:4023/udp/233.50.200.113:5140$1080p
CCTV-17 农业农村,http://dous.cc:4023/udp/233.50.201.35:5140
CCTV4K,http://dous.cc:4023/udp/233.50.201.226:5140
CETV1,http://dous.cc:4023/udp/233.50.200.169:5140$1080p
CETV1,http://dous.cc:4023/udp/233.50.201.75:5140
CETV4,http://dous.cc:4023/udp/233.50.200.141:5140$576p
CETV4,http://dous.cc:4023/udp/233.50.200.162:5140
CETV4,http://dous.cc:4023/udp/233.50.200.174:5140$1080p
CETV4,http://dous.cc:4023/udp/233.50.201.172:5140$576p
CGTN,http://dous.cc:4023/udp/233.50.200.84:5140$576p
CGTN,http://dous.cc:4023/udp/233.50.201.126:5140$576p
CGTN西语,http://dous.cc:4023/udp/233.50.201.36:5140
CGTN法语,http://dous.cc:4023/udp/233.50.201.37:5140
CGTN阿语,http://dous.cc:4023/udp/233.50.201.38:5140
CGTN俄语,http://dous.cc:4023/udp/233.50.201.39:5140
凤凰中文,http://dous.cc:4023/udp/233.50.202.35:5140$1080p
凤凰资讯,http://dous.cc:4023/udp/233.50.202.36:5140$1080p
东方卫视4K,http://dous.cc:4023/udp/233.50.202.105:5140
北京卫视4K,http://dous.cc:4023/udp/233.50.202.100:5140
四川卫视4K,http://dous.cc:4023/udp/233.50.202.109:5140
山东卫视4K,http://dous.cc:4023/udp/233.50.202.108:5140
广东卫视4K,http://dous.cc:4023/udp/233.50.202.101:5140
江苏卫视4K,http://dous.cc:4023/udp/233.50.202.107:5140
浙江卫视4K,http://dous.cc:4023/udp/233.50.202.104:5140
深圳卫视4K,http://dous.cc:4023/udp/233.50.202.102:5140
湖南卫视4K,http://dous.cc:4023/udp/233.50.202.106:5140
三沙卫视,http://dous.cc:4023/udp/233.50.200.175:5140$1080p
东南卫视,http://dous.cc:4023/udp/233.50.200.135:5140$1080p
东南卫视,http://dous.cc:4023/udp/233.50.200.67:5140$576p
东南卫视,http://dous.cc:4023/udp/233.50.201.146:5140
东南卫视,http://dous.cc:4023/udp/233.50.201.58:5140
东方卫视,http://dous.cc:4023/udp/233.50.200.146:5140$1080p
东方卫视,http://dous.cc:4023/udp/233.50.200.64:5140$576p
东方卫视,http://dous.cc:4023/udp/233.50.201.125:5140
东方卫视,http://dous.cc:4023/udp/233.50.201.68:5140
云南卫视,http://dous.cc:4023/udp/233.50.200.115:5140$1080p
云南卫视,http://dous.cc:4023/udp/233.50.200.81:5140$576p
云南卫视,http://dous.cc:4023/udp/233.50.201.46:5140
兵团卫视,http://dous.cc:4023/udp/233.50.200.171:5140$576p
兵团卫视,http://dous.cc:4023/udp/233.50.201.72:5140
兵团卫视,http://dous.cc:4023/udp/233.50.202.44:5140
内蒙古卫视,http://dous.cc:4023/udp/233.50.201.148:5140$576p
