江苏电信-组播1,#genre#
安徽卫视,http://121.237.245.25:8888/rtp/239.49.1.36:6000$576p
山东卫视,http://121.237.245.25:8888/rtp/239.49.8.146:6000$1080p
山东卫视,http://121.237.245.25:8888/rtp/239.49.1.37:6000$576p
山西卫视,http://121.237.245.25:8888/rtp/239.49.1.51:6000$576p
广东卫视,http://121.237.245.25:8888/rtp/239.49.8.143:6000$1080p
广东卫视,http://121.237.245.25:8888/rtp/239.49.1.39:6000$576p
广西卫视,http://121.237.245.25:8888/rtp/239.49.8.10:8000$1080p
广西卫视,http://121.237.245.25:8888/rtp/239.49.1.40:6000$576p
江西卫视,http://121.237.245.25:8888/rtp/239.49.8.111:8000$1080p
江西卫视,http://121.237.245.25:8888/rtp/239.49.8.185:6000$1080p
江西卫视,http://121.237.245.25:8888/rtp/239.49.1.47:6000$576p
河北卫视,http://121.237.245.25:8888/rtp/239.49.8.114:8000$1080p
河北卫视,http://121.237.245.25:8888/rtp/239.49.8.188:6000$1080p
河南卫视,http://121.237.245.25:8888/rtp/239.49.8.29:8000$1080p
河南卫视,http://121.237.245.25:8888/rtp/239.49.1.44:6000$576p
浙江卫视,http://121.237.245.25:8888/rtp/239.49.8.139:6000$1080p
浙江卫视,http://121.237.245.25:8888/rtp/239.49.1.34:6000$576p
海南卫视,http://121.237.245.25:8888/rtp/239.49.8.83:8000$1080p
海南卫视,http://121.237.245.25:8888/rtp/239.49.1.41:6000$576p
深圳卫视,http://121.237.245.25:8888/rtp/239.49.8.145:6000$1080p
深圳卫视,http://121.237.245.25:8888/rtp/239.49.1.59:6000$576p
湖北卫视,http://121.237.245.25:8888/rtp/239.49.8.147:6000$1080p
湖北卫视,http://121.237.245.25:8888/rtp/239.49.1.48:6000$576p
湖南卫视,http://121.237.245.25:8888/rtp/239.49.8.142:6000$1080p
湖南卫视,http://121.237.245.25:8888/rtp/239.49.1.38:6000$576p
贵州卫视,http://121.237.245.25:8888/rtp/239.49.8.49:8000$1080p
贵州卫视,http://121.237.245.25:8888/rtp/239.49.1.52:6000$576p
辽宁卫视,http://121.237.245.25:8888/rtp/239.49.8.48:8000$1080p
辽宁卫视,http://121.237.245.25:8888/rtp/239.49.1.35:6000$576p
重庆卫视,http://121.237.245.25:8888/rtp/239.49.8.149:6000$1080p
重庆卫视,http://121.237.245.25:8888/rtp/239.49.1.42:6000$576p
陕西卫视,http://121.237.245.25:8888/rtp/239.49.1.74:8000$1080p
山西卫视,http://121.237.245.25:8888/rtp/239.49.1.55:8000$1080p
西藏卫视,http://121.237.245.25:8888/rtp/239.49.1.56:8000$1080p
新疆卫视,http://121.237.245.25:8888/rtp/239.49.1.57:8000$1080p
兵团卫视,http://121.237.245.25:8888/rtp/239.49.1.58:8000$1080p
青海卫视,http://121.237.245.25:8888/rtp/239.49.1.53:6000$576p
黑龙江卫视,http://121.237.245.25:8888/rtp/239.49.8.144:6000$1080p
黑龙江卫视,http://121.237.245.25:8888/rtp/239.49.1.50:6000$576p
江苏卫视,http://121.237.245.25:8888/rtp/239.49.8.138:6000$1080p
江苏卫视,http://121.237.245.25:8888/rtp/239.49.1.16:6000$576p
江苏体育休闲,http://121.237.245.25:8888/rtp/239.49.8.117:8000$1080p
江苏体育休闲,http://121.237.245.25:8888/rtp/239.49.1.19:6000$576p
江苏国际,http://121.237.245.25:8888/rtp/239.49.1.81:8000$1080p
江苏国际,http://121.237.245.25:8888/rtp/239.49.1.23:6000$576p
江苏城市,http://121.237.245.25:8888/rtp/239.49.8.107:8000$1080p
江苏城市,http://121.237.245.25:8888/rtp/239.49.1.17:6000$576p
江苏影视,http://121.237.245.25:8888/rtp/239.49.8.118:8000$1080p
江苏影视,http://121.237.245.25:8888/rtp/239.49.1.20:6000$576p
江苏教育,http://121.237.245.25:8888/rtp/239.49.8.122:8000$1080p
江苏教育,http://121.237.245.25:8888/rtp/239.49.1.25:6000$576p
江苏新闻,http://121.237.245.25:8888/rtp/239.49.8.120:8000$1080p
江苏新闻,http://121.237.245.25:8888/rtp/239.49.1.22:6000$576p
江苏综艺,http://121.237.245.25:8888/rtp/239.49.8.108:8000$1080p
江苏综艺,http://121.237.245.25:8888/rtp/239.49.1.18:6000$576p
优漫卡通,http://121.237.245.25:8888/rtp/239.49.8.119:8000$1080p
优漫卡通,http://121.237.245.25:8888/rtp/239.49.1.21:6000$576p
财富天下,http://121.237.245.25:8888/rtp/239.49.1.76:8000$1080p
财富天下,http://121.237.245.25:8888/rtp/239.49.1.29:6000$576p
南京新闻综合,http://121.237.245.25:8888/rtp/239.49.0.25:8192 
南京教科,http://121.237.245.25:8888/rtp/239.49.0.183:9434 
南京十八生活,http://121.237.245.25:8888/rtp/239.49.0.26:8200
南京文旅纪录,http://121.237.245.25:8888/rtp/239.49.0.38:8000
高淳新闻,http://121.237.245.25:8888/rtp/239.49.0.74:8000
无锡新闻综合,http://121.237.245.25:8888/rtp/239.49.1.77:8000$1080p
无锡都市资讯,http://121.237.245.25:8888/rtp/239.49.1.78:8000$1080p
镇江教育民生,http://121.237.245.25:8888/rtp/239.49.1.73:8000
镇江教育民生,http://121.237.245.25:8888/rtp/239.49.1.73:8000$576p
苏州生活资讯,http://121.237.245.25:8888/rtp/239.49.8.116:8000$576p
常州新闻综合,http://121.237.245.25:8888/rtp/239.49.1.83:8000
常州都市,http://121.237.245.25:8888/rtp/239.49.1.84:8000
常州生活,http://121.237.245.25:8888/rtp/239.49.1.85:8000
金坛综合,http://121.237.245.25:8888/rtp/239.49.1.54:8000$1080p
淮安公共,http://121.237.245.25:8888/rtp/239.49.0.181:8000
淮安影视娱乐,http://121.237.245.25:8888/rtp/239.49.0.192:8000
淮安综合,http://121.237.245.25:8888/rtp/239.49.0.204:8000
洪泽综合,http://121.237.245.25:8888/rtp/239.49.0.89:8000
淮阴综合,http://121.237.245.25:8888/rtp/239.49.0.169:8000
盱眙综合,http://121.237.245.25:8888/rtp/239.49.0.237:8000
连云港新闻综合,http://121.237.245.25:8888/rtp/239.49.0.225:8000
连云港生活,http://121.237.245.25:8888/rtp/239.49.0.229:8000
东海综合,http://121.237.245.25:8888/rtp/239.49.0.121:8000
赣榆综合,http://121.237.245.25:8888/rtp/239.49.0.241:8000
南通新闻综合,http://121.237.245.25:8888/rtp/239.49.0.223:8000
南通公共崇川,http://121.237.245.25:8888/rtp/239.49.0.197:8000
南通社教,http://121.237.245.25:8888/rtp/239.49.0.224:8000
宿迁综合,http://121.237.245.25:8888/rtp/239.49.0.231:8000
宿迁公共,http://121.237.245.25:8888/rtp/239.49.0.236:8000
沭阳综合,http://121.237.245.25:8888/rtp/239.49.0.189:8792
泗洪综合,http://121.237.245.25:8888/rtp/239.49.0.195:8000
泗阳综合,http://121.237.245.25:8888/rtp/239.49.0.249:8000
宿豫综合,http://121.237.245.25:8888/rtp/239.49.0.83:8000
徐州新闻综合,http://121.237.245.25:8888/rtp/239.49.0.203:8000
徐州经济生活,http://121.237.245.25:8888/rtp/239.49.0.199:8000
徐州文艺影视,http://121.237.245.25:8888/rtp/239.49.0.211:8000
新沂综合,http://121.237.245.25:8888/rtp/239.49.0.238:8000
