辽宁联通-组播1,#genre#
CHC影迷电影,http://116.2.169.166:4010/rtp/232.0.0.233:1234$1080p
中华特产,http://116.2.169.166:4010/rtp/232.0.0.89:1234$576p
中国天气,http://116.2.169.166:4010/rtp/232.0.0.144:1234$1080p
中央新影-中学生,http://116.2.169.166:4010/rtp/232.0.0.236:1234$576p
中央新影-发现之旅,http://116.2.169.166:4010/rtp/232.0.0.235:1234$576p
中央新影-老故事,http://116.2.169.166:4010/rtp/232.0.0.246:1234$576p
东方卫视4K,http://116.2.169.166:4010/rtp/232.0.0.192:1234$2160p
北京卫视4K,http://116.2.169.166:4010/rtp/232.0.0.20:1234$2160p
四川卫视4K,http://116.2.169.166:4010/rtp/232.0.0.195:1234$2160p
山东卫视4K,http://116.2.169.166:4010/rtp/232.0.0.194:1234$2160p
广东卫视4K,http://116.2.169.166:4010/rtp/232.0.0.23:1234$2160p
江苏卫视4K,http://116.2.169.166:4010/rtp/232.0.0.191:1234$2160p
浙江卫视4K,http://116.2.169.166:4010/rtp/232.0.0.193:1234
深圳卫视4K,http://116.2.169.166:4010/rtp/232.0.0.44:1234$2160p
湖南卫视4K,http://116.2.169.166:4010/rtp/232.0.0.190:1234$2160p
三沙卫视,http://116.2.169.166:4010/rtp/232.0.0.184:1234$576p
东南卫视,http://116.2.169.166:4010/rtp/232.0.0.42:1234$1080p
东南卫视,http://116.2.169.166:4010/rtp/232.0.0.74:1234$576p
东方卫视,http://116.2.169.166:4010/rtp/232.0.0.122:1234$1080p
东方卫视,http://116.2.169.166:4010/rtp/232.0.0.17:1234$576p
云南卫视,http://116.2.169.166:4010/rtp/232.0.0.37:1234$1080p
云南卫视,http://116.2.169.166:4010/rtp/232.0.0.40:1234$576p
兵团卫视,http://116.2.169.166:4010/rtp/232.0.0.132:1234$1080p
兵团卫视,http://116.2.169.166:4010/rtp/232.0.0.67:1234$576p
内蒙古卫视,http://116.2.169.166:4010/rtp/232.0.0.111:1234$576p
北京卫视,http://116.2.169.166:4010/rtp/232.0.0.117:1234$1080p
北京卫视,http://116.2.169.166:4010/rtp/232.0.0.68:1234$576p
北京卫视,http://116.2.169.166:4010/rtp/232.0.0.70:1234$576p
厦门卫视,http://116.2.169.166:4010/rtp/232.0.0.160:1234$576p
吉林卫视,http://116.2.169.166:4010/rtp/232.0.0.180:1234$1080p
吉林卫视,http://116.2.169.166:4010/rtp/232.0.0.84:1234$576p
四川卫视,http://116.2.169.166:4010/rtp/232.0.0.185:1234$1080p
四川卫视,http://116.2.169.166:4010/rtp/232.0.0.77:1234$576p
天津卫视,http://116.2.169.166:4010/rtp/232.0.0.125:1234$1080p
天津卫视,http://116.2.169.166:4010/rtp/232.0.0.81:1234$576p
宁夏卫视,http://116.2.169.166:4010/rtp/232.0.0.34:1234$576p
宁夏卫视,http://116.2.169.166:4010/rtp/232.0.0.61:1234$1080p
安多卫视,http://116.2.169.166:4010/rtp/232.0.0.105:1234$576p
安徽卫视,http://116.2.169.166:4010/rtp/232.0.0.141:1234$1080p
安徽卫视,http://116.2.169.166:4010/rtp/232.0.0.73:1234$576p
山东卫视,http://116.2.169.166:4010/rtp/232.0.0.131:1234$1080p
山东卫视,http://116.2.169.166:4010/rtp/232.0.0.78:1234$576p
山西卫视,http://116.2.169.166:4010/rtp/232.0.0.86:1234$576p
广东卫视,http://116.2.169.166:4010/rtp/232.0.0.130:1234$1080p
广东卫视,http://116.2.169.166:4010/rtp/232.0.0.72:1234$576p
广西卫视,http://116.2.169.166:4010/rtp/232.0.0.22:1234$1080p
广西卫视,http://116.2.169.166:4010/rtp/232.0.0.76:1234$576p
康巴卫视,http://116.2.169.166:4010/rtp/232.0.0.109:1234$576p
延边卫视,http://116.2.169.166:4010/rtp/232.0.0.161:1234$576p
新疆卫视,http://116.2.169.166:4010/rtp/232.0.0.18:1234$576p
新疆卫视,http://116.2.169.166:4010/rtp/232.0.0.91:1234$1080p
江苏卫视,http://116.2.169.166:4010/rtp/232.0.0.116:1234$1080p
江苏卫视,http://116.2.169.166:4010/rtp/232.0.0.79:1234$576p
江西卫视,http://116.2.169.166:4010/rtp/232.0.0.31:1234$1080p
江西卫视,http://116.2.169.166:4010/rtp/232.0.0.82:1234$576p
河北卫视,http://116.2.169.166:4010/rtp/232.0.0.32:1234$1080p
河北卫视,http://116.2.169.166:4010/rtp/232.0.0.49:1234$576p
河南卫视,http://116.2.169.166:4010/rtp/232.0.0.33:1234$1080p
河南卫视,http://116.2.169.166:4010/rtp/232.0.0.80:1234$576p
浙江卫视,http://116.2.169.166:4010/rtp/232.0.0.123:1234$1080p
海南卫视,http://116.2.169.166:4010/rtp/232.0.0.26:1234$1080p
海南卫视,http://116.2.169.166:4010/rtp/232.0.0.71:1234$576p
深圳卫视,http://116.2.169.166:4010/rtp/232.0.0.106:1234$576p
深圳卫视,http://116.2.169.166:4010/rtp/232.0.0.110:1234$1080p
湖北卫视,http://116.2.169.166:4010/rtp/232.0.0.124:1234$1080p
湖北卫视,http://116.2.169.166:4010/rtp/232.0.0.83:1234$576p
湖南卫视,http://116.2.169.166:4010/rtp/232.0.0.115:1234$1080p
湖南卫视,http://116.2.169.166:4010/rtp/232.0.0.69:1234$576p
贵州卫视,http://116.2.169.166:4010/rtp/232.0.0.181:1234$1080p
贵州卫视,http://116.2.169.166:4010/rtp/232.0.0.87:1234$576p
甘肃卫视,http://116.2.169.166:4010/rtp/232.0.0.50:1234$576p
西藏卫视,http://116.2.169.166:4010/rtp/232.0.0.114:1234$576p
西藏卫视,http://116.2.169.166:4010/rtp/232.0.0.94:1234$1080p
西藏藏语,http://116.2.169.166:4010/rtp/232.0.0.104:1234$576p
重庆卫视,http://116.2.169.166:4010/rtp/232.0.0.186:1234$1080p
重庆卫视,http://116.2.169.166:4010/rtp/232.0.0.75:1234$576p
陕西卫视,http://116.2.169.166:4010/rtp/232.0.0.35:1234$576p
青海卫视,http://116.2.169.166:4010/rtp/232.0.0.101:1234$576p
黑龙江卫视,http://116.2.169.166:4010/rtp/232.0.0.85:1234$576p
黑龙江卫视,http://116.2.169.166:4010/rtp/232.0.0.95:1234$1080p
辽宁卫视,http://116.2.169.166:4010/rtp/232.0.0.126:1234$1080p
辽宁卫视,http://116.2.169.166:4010/rtp/232.0.0.16:1234$576p
辽宁体育休闲,http://116.2.169.166:4010/rtp/232.0.0.164:1234$1080p
辽宁体育休闲,http://116.2.169.166:4010/rtp/232.0.0.3:1234$576p
辽宁公共,http://116.2.169.166:4010/rtp/232.0.0.168:1234$1080p
辽宁公共,http://116.2.169.166:4010/rtp/232.0.0.205:1234$576p
辽宁北方,http://116.2.169.166:4010/rtp/232.0.0.151:1234$1080p
辽宁北方,http://116.2.169.166:4010/rtp/232.0.0.55:1234$576p
辽宁宜佳购物,http://116.2.169.166:4010/rtp/232.0.0.21:1234$576p
辽宁宜佳购物,http://116.2.169.166:4010/rtp/232.0.0.30:1234$1080p
辽宁影视剧,http://116.2.169.166:4010/rtp/232.0.0.25:1234$1080p
辽宁影视剧,http://116.2.169.166:4010/rtp/232.0.0.97:1234$576p
辽宁教育青少,http://116.2.169.166:4010/rtp/232.0.0.241:1234$1080p
辽宁教育青少,http://116.2.169.166:4010/rtp/232.0.0.99:1234$576p
辽宁生活,http://116.2.169.166:4010/rtp/232.0.0.150:1234$1080p
辽宁生活,http://116.2.169.166:4010/rtp/232.0.0.96:1234$576p
辽宁经济,http://116.2.169.166:4010/rtp/232.0.0.156:1234$1080p
辽宁经济,http://116.2.169.166:4010/rtp/232.0.0.204:1234
辽宁都市,http://116.2.169.166:4010/rtp/232.0.0.154:1234$1080p
辽宁都市,http://116.2.169.166:4010/rtp/232.0.0.88:1234$576p
营口新闻综合,http://116.2.169.166:4010/rtp/232.0.0.214:1234$576p
辽河文化生活,http://116.2.169.166:4010/rtp/232.0.0.215:1234$576p
沈阳新闻综合,http://116.2.169.166:4010/rtp/232.0.0.206:1234
沈阳新闻综合,http://116.2.169.166:4010/rtp/232.0.0.142:1234$576p
抚顺综合,http://116.2.169.166:4010/rtp/232.0.0.253:1234$1080p
抚顺教育,http://116.2.169.166:4010/rtp/232.0.0.254:1234$1080p
盘锦新闻综合,http://116.2.169.166:4010/rtp/232.0.0.120:1234$576p
盘锦都市,http://116.2.169.166:4010/rtp/232.0.0.183:1234
睛彩广场舞,http://116.2.169.166:4010/rtp/232.0.0.64:1234$1080p
睛彩竞技,http://116.2.169.166:4010/rtp/232.0.0.19:1234$1080p
睛彩篮球,http://116.2.169.166:4010/rtp/232.0.0.24:1234$1080p
睛彩青少,http://116.2.169.166:4010/rtp/232.0.0.62:1234$1080p
东方财经,http://116.2.169.166:4010/rtp/232.0.0.224:1234
乐游,http://116.2.169.166:4010/rtp/232.0.0.108:1234$1080p
优漫卡通,http://116.2.169.166:4010/rtp/232.0.0.159:1234$576p
欢笑剧场,http://116.2.169.166:4010/rtp/232.0.0.98:1234$2160p
法治天地,http://116.2.169.166:4010/rtp/232.0.0.134:1234$1080p
游戏风云,http://116.2.169.166:4010/rtp/232.0.0.127:1234$1080p
生活时尚,http://116.2.169.166:4010/rtp/232.0.0.107:1234$1080p
金色学堂,http://116.2.169.166:4010/rtp/232.0.0.133:1234$1080p
书画,http://116.2.169.166:4010/rtp/232.0.0.251:1234$576p
优优宝贝,http://116.2.169.166:4010/rtp/232.0.0.100:1234$576p
优购物,http://116.2.169.166:4010/rtp/232.0.0.250:1234$576p
动漫秀场,http://116.2.169.166:4010/rtp/232.0.0.128:1234$1080p
都市剧场,http://116.2.169.166:4010/rtp/232.0.0.149:1234$1080p
嘉佳卡通,http://116.2.169.166:4010/rtp/232.0.0.157:1234$576p
四海钓鱼,http://116.2.169.166:4010/rtp/232.0.0.66:1234$1080p
国学频道,http://116.2.169.166:4010/rtp/232.0.0.249:1234$576p
家庭理财,http://116.2.169.166:4010/rtp/232.0.0.39:1234$1080p
山东教育,http://116.2.169.166:4010/rtp/232.0.0.169:1234$576p
快乐垂钓,http://116.2.169.166:4010/rtp/232.0.0.242:1234$1080p
文物宝库,http://116.2.169.166:4010/rtp/232.0.0.245:1234$1080p
梨园频道,http://116.2.169.166:4010/rtp/232.0.0.247:1234$1080p
武术世界,http://116.2.169.166:4010/rtp/232.0.0.252:1234$1080p
环球旅游,http://116.2.169.166:4010/rtp/232.0.0.229:1234$1080p
生态环境,http://116.2.169.166:4010/rtp/232.0.0.113:1234$576p
财富天下,http://116.2.169.166:4010/rtp/232.0.0.147:1234$1080p
金鹰卡通,http://116.2.169.166:4010/rtp/232.0.0.90:1234$1080p
金鹰纪实,http://116.2.169.166:4010/rtp/232.0.0.163:1234$1080p
华数,http://116.2.169.166:4010/rtp/232.0.0.102:1234$1080p
华数2,http://116.2.169.166:4010/rtp/232.0.0.187:1234
华数3,http://116.2.169.166:4010/rtp/232.0.0.203:1234$1080p
聚鲨环球精选,http://116.2.169.166:4010/rtp/232.0.0.207:1234$576p
无台标,http://116.2.169.166:4010/rtp/232.0.0.48:1234$576p
广播未知,http://116.2.169.166:4010/rtp/232.0.0.167:1234$2160p
广播未知,http://116.2.169.166:4010/rtp/232.0.0.216:1234$2160p
央广购物,http://116.2.169.166:4010/rtp/232.0.0.240:1234$576p
辽宁联通-组播2,#genre#
辽宁联通-组播3,#genre#
