河北联通-组播1,#genre#
四川卫视,http://60.4.29.46:8077/rtp/239.253.92.16:6043
天津卫视,http://60.4.29.46:8077/rtp/239.253.92.91:8021
安徽卫视,http://60.4.29.46:8077/rtp/239.253.92.209:6566
山东卫视,http://60.4.29.46:8077/rtp/239.253.92.207:8109
广东卫视,http://60.4.29.46:8077/rtp/239.253.92.206:8108
广西卫视,http://60.4.29.46:8077/rtp/239.253.92.76:8043
江苏卫视,http://60.4.29.46:8077/rtp/239.253.92.88:8018
江西卫视,http://60.4.29.46:8077/rtp/239.253.92.19:6145
河南卫视,http://60.4.29.46:8077/rtp/239.253.92.137:6144
浙江卫视,http://60.4.29.46:8077/rtp/239.253.92.90:8020
海南卫视,http://60.4.29.46:8077/rtp/239.253.93.155:6323
深圳卫视,http://60.4.29.46:8077/rtp/239.253.92.86:8017
湖北卫视,http://60.4.29.46:8077/rtp/239.253.92.210:6567
湖南卫视,http://60.4.29.46:8077/rtp/239.253.92.84:8015
贵州卫视,http://60.4.29.46:8077/rtp/239.253.92.105:6055
辽宁卫视,http://60.4.29.46:8077/rtp/239.253.92.115:6056
重庆卫视,http://60.4.29.46:8077/rtp/239.253.92.10:6053
黑龙江卫视,http://60.4.29.46:8077/rtp/239.253.92.85:8016
西藏卫视,http://60.4.29.46:8077/rtp/239.253.94.57:6639
新疆卫视,http://60.4.29.46:8077/rtp/239.253.94.58:6640
甘肃卫视,http://60.4.29.46:8077/rtp/239.253.94.33:6633
宁夏卫视,http://60.4.29.46:8077/rtp/239.253.94.60:6642
兵团卫视,http://60.4.29.46:8077/rtp/239.253.94.59:6641
三沙卫视,http://60.4.29.46:8077/rtp/239.253.94.32:6632
延边卫视,http://60.4.29.46:8077/rtp/239.253.92.120:6649
青海卫视,http://60.4.29.46:8077/rtp/239.253.92.133:6031
河北卫视,http://60.4.29.46:8077/rtp/239.253.92.154:6011
河北三农,http://60.4.29.46:8077/rtp/239.253.92.176:6006
河北公共,http://60.4.29.46:8077/rtp/239.253.92.175:6005
河北少儿科教,http://60.4.29.46:8077/rtp/239.253.92.174:6004
河北文旅体育,http://60.4.29.46:8077/rtp/239.253.92.173:6003
河北经济生活,http://60.4.29.46:8077/rtp/239.253.92.171:6001
河北都市,http://60.4.29.46:8077/rtp/239.253.92.172:6002
三河综合,http://60.4.29.46:8077/rtp/239.253.93.143:6311
东光综合,http://60.4.29.46:8077/rtp/239.253.93.96:6262
丰南综合,http://60.4.29.46:8077/rtp/239.253.92.231:6070
丰宁综合,http://60.4.29.46:8077/rtp/239.253.93.210:6388
丰润新闻综合,http://60.4.29.46:8077/rtp/239.253.92.252:6156
临城新闻,http://60.4.29.46:8077/rtp/239.253.93.167:6335
临漳综合,http://60.4.29.46:8077/rtp/239.253.93.84:6250
临西综合,http://60.4.29.46:8077/rtp/239.253.94.29:6628
乐亭综合,http://60.4.29.46:8077/rtp/239.253.93.250:6290
井陉矿区综合,http://60.4.29.46:8077/rtp/239.253.92.215:6067
井陉综合,http://60.4.29.46:8077/rtp/239.253.93.205:6383
任县综合,http://60.4.29.46:8077/rtp/239.253.93.145:6313
保定新闻综合,http://60.4.29.46:8077/rtp/239.253.93.2:6153
保定民生,http://60.4.29.46:8077/rtp/239.253.93.5:6158
元氏综合,http://60.4.29.46:8077/rtp/239.253.92.142:6040
兴隆综合,http://60.4.29.46:8077/rtp/239.253.93.104:6271
冀州综合,http://60.4.29.46:8077/rtp/239.253.93.34:6187
内丘综合,http://60.4.29.46:8077/rtp/239.253.93.102:6268
南和综合,http://60.4.29.46:8077/rtp/239.253.93.80:6246
南宫综合,http://60.4.29.46:8077/rtp/239.253.93.48:6201
南皮综合,http://60.4.29.46:8077/rtp/239.253.93.149:6317
卢龙综合,http://60.4.29.46:8077/rtp/239.253.93.206:6384
双滦新闻,http://60.4.29.46:8077/rtp/239.253.92.147:6224
吴桥综合,http://60.4.29.46:8077/rtp/239.253.93.169:6337
唐县综合,http://60.4.29.46:8077/rtp/239.253.93.30:6183
唐山公共,http://60.4.29.46:8077/rtp/239.253.92.128:6028
唐山影视,http://60.4.29.46:8077/rtp/239.253.92.127:6027
唐山新闻综合,http://60.4.29.46:8077/rtp/239.253.92.245:6089
唐山生活服务,http://60.4.29.46:8077/rtp/239.253.92.126:6026
固安综合,http://60.4.29.46:8077/rtp/239.253.93.109:6276
大厂综合,http://60.4.29.46:8077/rtp/239.253.92.253:6244
大城综合,http://60.4.29.46:8077/rtp/239.253.92.230:6068
宁晋综合,http://60.4.29.46:8077/rtp/239.253.93.51:6204
安平综合,http://60.4.29.46:8077/rtp/239.253.93.36:6189
安新综合,http://60.4.29.46:8077/rtp/239.253.93.107:6274
定兴综合,http://60.4.29.46:8077/rtp/239.253.93.14:6167
定州新闻综合,http://60.4.29.46:8077/rtp/239.253.93.95:6260
容城综合,http://60.4.29.46:8077/rtp/239.253.93.110:6277
宽城综合,http://60.4.29.46:8077/rtp/239.253.93.117:6019
尚义综合,http://60.4.29.46:8077/rtp/239.253.93.163:6331
崇礼综合,http://60.4.29.46:8077/rtp/239.253.93.147:6315
巨鹿综合,http://60.4.29.46:8077/rtp/239.253.92.254:6449
平乡综合,http://60.4.29.46:8077/rtp/239.253.93.53:6206
平泉综合,http://60.4.29.46:8077/rtp/239.253.92.156:6012
广宗综合,http://60.4.29.46:8077/rtp/239.253.93.50:6203
广平综合,http://60.4.29.46:8077/rtp/239.253.93.66:6231
廊坊新闻综合,http://60.4.29.46:8077/rtp/239.253.92.164:6036
廊坊生活,http://60.4.29.46:8077/rtp/239.253.92.166:6037
张家口公共,http://60.4.29.46:8077/rtp/239.253.92.226:8116
张家口新闻综合,http://60.4.29.46:8077/rtp/239.253.92.225:8115
徐水综合,http://60.4.29.46:8077/rtp/239.253.93.182:6350
成安综合,http://60.4.29.46:8077/rtp/239.253.93.178:6346
承德县综合,http://60.4.29.46:8077/rtp/239.253.94.28:6627
承德新闻综合,http://60.4.29.46:8077/rtp/239.253.92.222:8112
承德旅游文化,http://60.4.29.46:8077/rtp/239.253.92.223:8113
抚宁综合,http://60.4.29.46:8077/rtp/239.253.93.201:6379
故城综合,http://60.4.29.46:8077/rtp/239.253.93.161:6329
无极综合,http://60.4.29.46:8077/rtp/239.253.92.138:6222
昌黎综合,http://60.4.29.46:8077/rtp/239.253.92.109:6217
晋州综合,http://60.4.29.46:8077/rtp/239.253.93.156:6324
景县综合,http://60.4.29.46:8077/rtp/239.253.93.38:6191
曲周综合,http://60.4.29.46:8077/rtp/239.253.93.54:6207
曲阳综合,http://60.4.29.46:8077/rtp/239.253.93.31:6184
望都综合,http://60.4.29.46:8077/rtp/239.253.93.32:6185
枣强综合,http://60.4.29.46:8077/rtp/239.253.93.166:6334
柏乡综合,http://60.4.29.46:8077/rtp/239.253.93.171:6339
栾城综合,http://60.4.29.46:8077/rtp/239.253.92.187:6051
武安综合,http://60.4.29.46:8077/rtp/239.253.93.62:6215
武强融媒综合,http://60.4.29.46:8077/rtp/239.253.93.79:6245
永清综合,http://60.4.29.46:8077/rtp/239.253.93.172:6340
沙河综合,http://60.4.29.46:8077/rtp/239.253.93.179:6347
沧州公共,http://60.4.29.46:8077/rtp/239.253.92.122:6016
沧州影视娱乐,http://60.4.29.46:8077/rtp/239.253.92.123:6017
沧州新闻综合,http://60.4.29.46:8077/rtp/239.253.92.121:6015
涉县新闻综合,http://60.4.29.46:8077/rtp/239.253.93.106:6273
涞水综合,http://60.4.29.46:8077/rtp/239.253.93.17:6170
涞源综合,http://60.4.29.46:8077/rtp/239.253.93.22:6175
涿州综合,http://60.4.29.46:8077/rtp/239.253.93.27:6180
涿鹿综合,http://60.4.29.46:8077/rtp/239.253.93.181:6349
深州综合,http://60.4.29.46:8077/rtp/239.253.93.42:6195
深泽综合,http://60.4.29.46:8077/rtp/239.253.94.31:6630
清河新闻综合,http://60.4.29.46:8077/rtp/239.253.93.44:6197
清苑综合,http://60.4.29.46:8077/rtp/239.253.93.24:6177
满城综合,http://60.4.29.46:8077/rtp/239.253.93.19:6172
滦南综合,http://60.4.29.46:8077/rtp/239.253.92.218:6100
