重庆联通-组播1,#genre#
重庆汽摩,http://58.17.134.3:8001/rtp/225.0.4.195:7980
重庆汽摩,http://58.17.134.3:8001/rtp/225.0.4.61:7980
重庆社会与法,http://58.17.134.3:8001/rtp/225.0.4.190:7980$1080p
重庆社会与法,http://58.17.134.3:8001/rtp/225.0.4.64:7980
重庆移动电视,http://58.17.134.3:8001/rtp/225.0.4.197:7980
重庆移动电视,http://58.17.134.3:8001/rtp/225.0.4.66:7980$576p
重庆红叶,http://58.17.134.3:8001/rtp/225.0.4.193:7980$1080p
重庆红叶,http://58.17.134.3:8001/rtp/225.0.4.63:7980$576p
重庆红岩文化,http://58.17.134.3:8001/rtp/225.0.4.196:7980$1080p
重庆红岩文化,http://58.17.134.3:8001/rtp/225.0.4.69:7980$576p
BRTV卡酷少儿,http://58.17.134.3:8001/rtp/225.0.4.45:7980$576p
CCTV-1 综合,http://58.17.134.3:8001/rtp/225.0.4.150:7980$1080p
CCTV-1 综合,http://58.17.134.3:8001/rtp/225.0.4.151:7980$1080p
CCTV-1 综合,http://58.17.134.3:8001/rtp/225.0.4.159:7980$1080p
CCTV-1 综合,http://58.17.134.3:8001/rtp/225.0.4.1:7980$576p
CCTV-1 综合,http://58.17.134.3:8001/rtp/225.0.4.74:7980$1080p
CCTV-2 财经,http://58.17.134.3:8001/rtp/225.0.4.132:7980$1080p
CCTV-2 财经,http://58.17.134.3:8001/rtp/225.0.4.2:7980$576p
CCTV-3 综艺,http://58.17.134.3:8001/rtp/225.0.4.138:7980$576p
CCTV-3 综艺,http://58.17.134.3:8001/rtp/225.0.4.142:7980$1080p
CCTV-3 综艺,http://58.17.134.3:8001/rtp/225.0.4.51:7980$1080p
CCTV-4 中文国际,http://58.17.134.3:8001/rtp/225.0.4.149:7980$1080p
CCTV-4 中文国际,http://58.17.134.3:8001/rtp/225.0.4.176:7980$1080p
CCTV-4 中文国际,http://58.17.134.3:8001/rtp/225.0.4.3:7980$576p
CCTV-5 体育,http://58.17.134.3:8001/rtp/225.0.4.139:7980
CCTV-5 体育,http://58.17.134.3:8001/rtp/225.0.4.143:7980$1080p
CCTV-5+ 体育赛事,http://58.17.134.3:8001/rtp/225.0.4.73:7980$1080p
CCTV-6 电影,http://58.17.134.3:8001/rtp/225.0.4.140:7980
CCTV-6 电影,http://58.17.134.3:8001/rtp/225.0.4.144:7980$1080p
CCTV-7 国防军事,http://58.17.134.3:8001/rtp/225.0.4.127:7980$1080p
CCTV-7 国防军事,http://58.17.134.3:8001/rtp/225.0.4.154:7980$1080p
CCTV-7 国防军事,http://58.17.134.3:8001/rtp/225.0.4.4:7980$576p
CCTV-8 电视剧,http://58.17.134.3:8001/rtp/225.0.4.137:7980
CCTV-8 电视剧,http://58.17.134.3:8001/rtp/225.0.4.141:7980$576p
CCTV-9 纪录,http://58.17.134.3:8001/rtp/225.0.4.131:7980$1080p
CCTV-9 纪录,http://58.17.134.3:8001/rtp/225.0.4.5:7980$576p
CCTV-10 科教,http://58.17.134.3:8001/rtp/225.0.4.130:7980$1080p
CCTV-10 科教,http://58.17.134.3:8001/rtp/225.0.4.153:7980$1080p
CCTV-10 科教,http://58.17.134.3:8001/rtp/225.0.4.6:7980$576p
CCTV-11 戏曲,http://58.17.134.3:8001/rtp/225.0.4.56:7980$1080p
CCTV-11 戏曲,http://58.17.134.3:8001/rtp/225.0.4.7:7980$576p
CCTV-12 社会与法,http://58.17.134.3:8001/rtp/225.0.4.129:7980$1080p
CCTV-12 社会与法,http://58.17.134.3:8001/rtp/225.0.4.8:7980$576p
CCTV-13 新闻,http://58.17.134.3:8001/rtp/225.0.4.219:7980$1080p
CCTV-13 新闻,http://58.17.134.3:8001/rtp/225.0.4.9:7980$576p
CCTV-14 少儿,http://58.17.134.3:8001/rtp/225.0.4.10:7980$576p
CCTV-14 少儿,http://58.17.134.3:8001/rtp/225.0.4.128:7980$1080p
CCTV-15 音乐,http://58.17.134.3:8001/rtp/225.0.4.11:7980$576p
CCTV-15 音乐,http://58.17.134.3:8001/rtp/225.0.4.148:7980$1080p
CCTV-15 音乐,http://58.17.134.3:8001/rtp/225.0.4.220:7980$1080p
CCTV-17 农业农村,http://58.17.134.3:8001/rtp/225.0.4.179:7980$1080p
CCTV-17 农业农村,http://58.17.134.3:8001/rtp/225.0.4.180:7980$576p
CCTV世界地理,http://58.17.134.3:8001/rtp/225.0.4.207:7980
CCTV兵器科技,http://58.17.134.3:8001/rtp/225.0.4.223:7980
CCTV央视台球,http://58.17.134.3:8001/rtp/225.0.4.224:7980
CCTV央视文化精品,http://58.17.134.3:8001/rtp/225.0.4.212:7980$1080p
CCTV女性时尚,http://58.17.134.3:8001/rtp/225.0.4.208:7980$1080p
CCTV怀旧剧场,http://58.17.134.3:8001/rtp/225.0.4.222:7980
CCTV第一剧场,http://58.17.134.3:8001/rtp/225.0.4.206:7980
CCTV风云剧场,http://58.17.134.3:8001/rtp/225.0.4.209:7980$1080p
CCTV风云足球,http://58.17.134.3:8001/rtp/225.0.4.210:7980
CCTV风云音乐,http://58.17.134.3:8001/rtp/225.0.4.205:7980$1080p
CCTV高尔夫网球,http://58.17.134.3:8001/rtp/225.0.4.211:7980$1080p
CETV1,http://58.17.134.3:8001/rtp/225.0.4.186:7980
CETV4,http://58.17.134.3:8001/rtp/225.0.4.182:7980$1080p
CETV4,http://58.17.134.3:8001/rtp/225.0.4.185:7980$576p
CETV早期教育,http://58.17.134.3:8001/rtp/225.0.4.227:7980$576p
CGTN,http://58.17.134.3:8001/rtp/225.0.4.12:7980$576p
CHC动作电影,http://58.17.134.3:8001/rtp/225.0.4.229:7980
CHC家庭影院,http://58.17.134.3:8001/rtp/225.0.4.228:7980
CHC影迷电影,http://58.17.134.3:8001/rtp/225.0.4.230:7980$1080p
中央新影-中学生,http://58.17.134.3:8001/rtp/225.0.4.184:7980$576p
北京卫视4K,http://58.17.134.3:8001/rtp/225.0.4.122:7980$2160p
北京卫视4K,http://58.17.134.3:8001/rtp/225.0.4.123:7980$2160p
东方卫视4K,http://58.17.134.3:8001/rtp/225.0.4.103:7980$2160p
四川卫视4K,http://58.17.134.3:8001/rtp/225.0.4.108:7980$2160p
山东卫视4K,http://58.17.134.3:8001/rtp/225.0.4.106:7980$2160p
广东卫视4K,http://58.17.134.3:8001/rtp/225.0.4.102:7980
江苏卫视4K,http://58.17.134.3:8001/rtp/225.0.4.104:7980
浙江卫视4K,http://58.17.134.3:8001/rtp/225.0.4.105:7980$2160p
深圳卫视4K,http://58.17.134.3:8001/rtp/225.0.4.101:7980$2160p
湖南卫视4K,http://58.17.134.3:8001/rtp/225.0.4.107:7980
多彩文体,http://58.17.134.3:8001/rtp/225.0.4.234:7980$1080p

IPTV武侠剧场,http://58.17.134.3:8001/rtp/225.0.4.168:7980
IPTV足球,http://58.17.134.3:8001/rtp/225.0.4.167:7980
东南卫视,http://58.17.134.3:8001/rtp/225.0.4.200:7980
东南卫视,http://58.17.134.3:8001/rtp/225.0.4.31:7980$576p
东方卫视,http://58.17.134.3:8001/rtp/225.0.4.29:7980$576p
东方卫视,http://58.17.134.3:8001/rtp/225.0.4.80:7980$1080p
云南卫视,http://58.17.134.3:8001/rtp/225.0.4.110:7980$576p
云南卫视,http://58.17.134.3:8001/rtp/225.0.4.21:7980$576p
兵团卫视,http://58.17.134.3:8001/rtp/225.0.4.72:7980$1080p
内蒙古卫视,http://58.17.134.3:8001/rtp/225.0.4.243:7980$1080p
内蒙古卫视,http://58.17.134.3:8001/rtp/225.0.4.38:7980$576p
北京卫视,http://58.17.134.3:8001/rtp/225.0.4.17:7980$576p
北京卫视,http://58.17.134.3:8001/rtp/225.0.4.78:7980$1080p
吉林卫视,http://58.17.134.3:8001/rtp/225.0.4.225:7980
吉林卫视,http://58.17.134.3:8001/rtp/225.0.4.35:7980$576p
四川卫视,http://58.17.134.3:8001/rtp/225.0.4.204:7980
四川卫视,http://58.17.134.3:8001/rtp/225.0.4.24:7980$576p
天津卫视,http://58.17.134.3:8001/rtp/225.0.4.18:7980$576p
天津卫视,http://58.17.134.3:8001/rtp/225.0.4.82:7980$1080p
宁夏卫视,http://58.17.134.3:8001/rtp/225.0.4.109:7980$1080p
宁夏卫视,http://58.17.134.3:8001/rtp/225.0.4.41:7980$576p
安徽卫视,http://58.17.134.3:8001/rtp/225.0.4.133:7980$1080p
安徽卫视,http://58.17.134.3:8001/rtp/225.0.4.16:7980$576p
山东卫视,http://58.17.134.3:8001/rtp/225.0.4.199:7980$1080p
山东卫视,http://58.17.134.3:8001/rtp/225.0.4.20:7980$576p
山东教育,http://58.17.134.3:8001/rtp/225.0.4.177:7980$576p
