重庆联通-组播1,#genre#
CETV早期教育,http://58.17.134.3:8002/rtp/225.0.4.227:7980$576p
CGTN,http://58.17.134.3:8002/rtp/225.0.4.12:7980$576p
CHC动作电影,http://58.17.134.3:8002/rtp/225.0.4.229:7980
CHC家庭影院,http://58.17.134.3:8002/rtp/225.0.4.228:7980
CHC影迷电影,http://58.17.134.3:8002/rtp/225.0.4.230:7980$1080p
中央新影-中学生,http://58.17.134.3:8002/rtp/225.0.4.184:7980$576p
北京卫视4K,http://58.17.134.3:8002/rtp/225.0.4.122:7980$2160p
北京卫视4K,http://58.17.134.3:8002/rtp/225.0.4.123:7980$2160p
东方卫视4K,http://58.17.134.3:8002/rtp/225.0.4.103:7980$2160p
四川卫视4K,http://58.17.134.3:8002/rtp/225.0.4.108:7980$2160p
山东卫视4K,http://58.17.134.3:8002/rtp/225.0.4.106:7980$2160p
广东卫视4K,http://58.17.134.3:8002/rtp/225.0.4.102:7980
江苏卫视4K,http://58.17.134.3:8002/rtp/225.0.4.104:7980
浙江卫视4K,http://58.17.134.3:8002/rtp/225.0.4.105:7980$2160p
深圳卫视4K,http://58.17.134.3:8002/rtp/225.0.4.101:7980$2160p
湖南卫视4K,http://58.17.134.3:8002/rtp/225.0.4.107:7980
多彩文体,http://58.17.134.3:8002/rtp/225.0.4.234:7980$1080p

IPTV武侠剧场,http://58.17.134.3:8002/rtp/225.0.4.168:7980
IPTV足球,http://58.17.134.3:8002/rtp/225.0.4.167:7980
东南卫视,http://58.17.134.3:8002/rtp/225.0.4.200:7980
东南卫视,http://58.17.134.3:8002/rtp/225.0.4.31:7980$576p
东方卫视,http://58.17.134.3:8002/rtp/225.0.4.29:7980$576p
东方卫视,http://58.17.134.3:8002/rtp/225.0.4.80:7980$1080p
云南卫视,http://58.17.134.3:8002/rtp/225.0.4.110:7980$576p
云南卫视,http://58.17.134.3:8002/rtp/225.0.4.21:7980$576p
兵团卫视,http://58.17.134.3:8002/rtp/225.0.4.72:7980$1080p
内蒙古卫视,http://58.17.134.3:8002/rtp/225.0.4.243:7980$1080p
内蒙古卫视,http://58.17.134.3:8002/rtp/225.0.4.38:7980$576p
北京卫视,http://58.17.134.3:8002/rtp/225.0.4.17:7980$576p
北京卫视,http://58.17.134.3:8002/rtp/225.0.4.78:7980$1080p
吉林卫视,http://58.17.134.3:8002/rtp/225.0.4.225:7980
吉林卫视,http://58.17.134.3:8002/rtp/225.0.4.35:7980$576p
四川卫视,http://58.17.134.3:8002/rtp/225.0.4.204:7980
四川卫视,http://58.17.134.3:8002/rtp/225.0.4.24:7980$576p
天津卫视,http://58.17.134.3:8002/rtp/225.0.4.18:7980$576p
天津卫视,http://58.17.134.3:8002/rtp/225.0.4.82:7980$1080p
宁夏卫视,http://58.17.134.3:8002/rtp/225.0.4.109:7980$1080p
宁夏卫视,http://58.17.134.3:8002/rtp/225.0.4.41:7980$576p
安徽卫视,http://58.17.134.3:8002/rtp/225.0.4.133:7980$1080p
安徽卫视,http://58.17.134.3:8002/rtp/225.0.4.16:7980$576p
山东卫视,http://58.17.134.3:8002/rtp/225.0.4.199:7980$1080p
山东卫视,http://58.17.134.3:8002/rtp/225.0.4.20:7980$576p
山东教育,http://58.17.134.3:8002/rtp/225.0.4.177:7980$576p
山东教育,http://58.17.134.3:8002/rtp/225.0.4.183:7980$1080p
山西卫视,http://58.17.134.3:8002/rtp/225.0.4.37:7980$576p
广东卫视,http://58.17.134.3:8002/rtp/225.0.4.33:7980$576p
