广东电信-组播1,#genre#
CCTV-15 音乐,http://183.36.240.113:9901/udp/239.77.0.44:5146$576p
CCTV-15 音乐,http://183.36.240.113:9901/udp/239.77.1.120:5146
CCTV-15 音乐,http://183.36.240.113:9901/udp/239.77.1.239:5146
CCTV-16 奥林匹克,http://183.36.240.113:9901/udp/239.77.0.165:5146$1080p
CCTV-16 奥林匹克,http://183.36.240.113:9901/udp/239.77.0.218:5146$2160p
CCTV-16 奥林匹克,http://183.36.240.113:9901/udp/239.77.0.18:5146$2160p
CCTV-17 农业农村,http://183.36.240.113:9901/udp/239.77.0.115:5146$576p
CCTV-17 农业农村,http://183.36.240.113:9901/udp/239.77.0.198:5146$1080p
CCTV-17 农业农村,http://183.36.240.113:9901/udp/239.77.1.121:5146
CCTV4K,http://183.36.240.113:9901/udp/239.77.0.194:5146$2160p
CCTV4K,http://183.36.240.113:9901/udp/239.77.1.180:5146$2160p
CCTV4K,http://183.36.240.113:9901/udp/239.77.0.174:5146$2160p
CCTV世界地理,http://183.36.240.113:9901/udp/239.253.43.24:5146$1080p
CCTV兵器科技,http://183.36.240.113:9901/udp/239.253.43.18:5146$1080p
CCTV兵器科技,http://183.36.240.113:9901/udp/239.253.43.19:5146$1080p
CCTV兵器科技,http://183.36.240.113:9901/udp/239.253.43.9:5146$480p
CCTV卫生健康,http://183.36.240.113:9901/udp/239.77.0.212:5146$1080p
CCTV央视台球,http://183.36.240.113:9901/udp/239.253.43.11:5146$480p
CCTV央视台球,http://183.36.240.113:9901/udp/239.253.43.21:5146$1080p
CCTV央视文化精品,http://183.36.240.113:9901/udp/239.253.43.13:5146$1080p
CCTV央视文化精品,http://183.36.240.113:9901/udp/239.253.43.27:5146$1080p
CCTV女性时尚,http://183.36.240.113:9901/udp/239.253.43.23:5146$1080p
CCTV女性时尚,http://183.36.240.113:9901/udp/239.253.43.8:5146$1080p
CCTV怀旧剧场,http://183.36.240.113:9901/udp/239.253.43.25:5146$1080p
CCTV怀旧剧场,http://183.36.240.113:9901/udp/239.253.43.5:5146$1080p
CCTV电视指南,http://183.36.240.113:9901/udp/239.253.43.10:5146
CCTV第一剧场,http://183.36.240.113:9901/udp/239.253.43.15:5146$1080p
CCTV风云剧场,http://183.36.240.113:9901/udp/239.253.43.26:5146$1080p
CCTV风云足球,http://183.36.240.113:9901/udp/239.253.43.14:5146$1080p
CCTV风云足球,http://183.36.240.113:9901/udp/239.253.43.20:5146$1080p
CCTV风云音乐,http://183.36.240.113:9901/udp/239.253.43.6:5146
CCTV高尔夫网球,http://183.36.240.113:9901/udp/239.253.43.22:5146$1080p
CCTV风云剧场,http://183.36.240.113:9901/udp/239.253.43.16:5146$1080p
CCTV风云音乐,http://183.36.240.113:9901/udp/239.253.43.29:5146$1080p
CETV1,http://183.36.240.113:9901/udp/239.77.0.200:5146$1080p
CETV1,http://183.36.240.113:9901/udp/239.77.1.222:5146
CETV2,http://183.36.240.113:9901/udp/239.77.0.28:5146$576p
CETV2,http://183.36.240.113:9901/udp/239.77.1.69:5146
CETV4,http://183.36.240.113:9901/udp/239.253.43.40:5146$1080p
CETV4,http://183.36.240.113:9901/udp/239.253.43.114:5146$1080p
CETV早期教育,http://183.36.240.113:9901/udp/239.77.0.180:5146$1080p
CETV早期教育,http://183.36.240.113:9901/udp/239.77.1.114:5146
CETV早期教育,http://183.36.240.113:9901/udp/239.77.1.122:5146
CGTN,http://183.36.240.113:9901/udp/239.77.0.199:5146$1080p
CGTN,http://183.36.240.113:9901/udp/239.77.0.45:5146$576p
CGTN,http://183.36.240.113:9901/udp/239.77.1.27:5146
CGTN俄语,http://183.36.240.113:9901/udp/239.253.43.201:5146
CGTN法语,http://183.36.240.113:9901/udp/239.77.0.228:5146$1080p
CGTN纪录,http://183.36.240.113:9901/udp/239.253.43.122:5146
CGTN西语,http://183.36.240.113:9901/udp/239.77.0.221:5146$1080p
CGTN阿语,http://183.36.240.113:9901/udp/239.253.43.200:5146$1080p
中央新影-中学生,http://183.36.240.113:9901/udp/239.77.1.195:5146
中央新影-发现之旅,http://183.36.240.113:9901/udp/239.77.1.112:5146
中央新影-发现之旅,http://183.36.240.113:9901/udp/239.253.43.127:5146$480p
中央新影-老故事,http://183.36.240.113:9901/udp/239.77.1.197:5146
北京卫视4K,http://183.36.240.113:9901/udp/239.77.0.2:5146$2160p
北京卫视4K,http://183.36.240.113:9901/udp/239.77.0.3:5146
北京卫视4K,http://183.36.240.113:9901/udp/239.77.1.13:5146
东方卫视4K,http://183.36.240.113:9901/udp/239.77.0.59:5146$2160p
四川卫视4K,http://183.36.240.113:9901/udp/239.77.0.60:5146$2160p
山东卫视4K,http://183.36.240.113:9901/udp/239.77.0.61:5146$2160p
广东卫视4K,http://183.36.240.113:9901/udp/239.77.0.27:5146
广东卫视4K,http://183.36.240.113:9901/udp/239.77.0.65:5146$2160p
广东卫视4K,http://183.36.240.113:9901/udp/239.77.0.66:5146$2160p
江苏卫视4K,http://183.36.240.113:9901/udp/239.77.0.57:5146$2160p
浙江卫视4K,http://183.36.240.113:9901/udp/239.77.0.58:5146$2160p
深圳卫视4K,http://183.36.240.113:9901/udp/239.77.0.67:5146$2160p
深圳卫视4K,http://183.36.240.113:9901/udp/239.77.1.14:5146
深圳卫视4K,http://183.36.240.113:9901/udp/239.77.1.191:5146
湖南卫视4K,http://183.36.240.113:9901/udp/239.77.0.56:5146$2160p


IPTV谍战剧场,http://183.36.240.113:9901/udp/239.77.0.99:5146$1080p
三沙卫视,http://183.36.240.113:9901/udp/239.253.43.113:5146$1080p
三沙卫视,http://183.36.240.113:9901/udp/239.77.1.117:5146
东南卫视,http://183.36.240.113:9901/udp/239.77.0.146:5146$1080p
东南卫视,http://183.36.240.113:9901/udp/239.77.1.104:5146
东方卫视,http://183.36.240.113:9901/udp/239.77.0.5:5146$1080p
东方卫视,http://183.36.240.113:9901/udp/239.77.0.98:5146$1080p
东方卫视,http://183.36.240.113:9901/udp/239.77.1.156:5146
东方卫视,http://183.36.240.113:9901/udp/239.77.1.218:5146
东方卫视,http://183.36.240.113:9901/udp/239.77.1.48:5146
云南卫视,http://183.36.240.113:9901/udp/239.253.43.100:5146$1080p
云南卫视,http://183.36.240.113:9901/udp/239.253.43.37:5146$1080p
兵团卫视,http://183.36.240.113:9901/udp/239.77.0.48:5146$1080p
兵团卫视,http://183.36.240.113:9901/udp/239.77.0.77:5146$576p
内蒙古卫视,http://183.36.240.113:9901/udp/239.77.0.70:5146$576p
内蒙古卫视,http://183.36.240.113:9901/udp/239.77.1.55:5146
北京卫视,http://183.36.240.113:9901/udp/239.77.0.51:5146
北京卫视,http://183.36.240.113:9901/udp/239.77.0.91:5146$1080p
北京卫视,http://183.36.240.113:9901/udp/239.77.1.151:5146
北京卫视,http://183.36.240.113:9901/udp/239.77.1.4:5146
厦门卫视,http://183.36.240.113:9901/udp/239.77.0.96:5146$576p
吉林卫视,http://183.36.240.113:9901/udp/239.77.0.150:5146$1080p
吉林卫视,http://183.36.240.113:9901/udp/239.77.1.111:5146
四川卫视,http://183.36.240.113:9901/udp/239.77.0.11:5146$1080p
四川卫视,http://183.36.240.113:9901/udp/239.77.0.159:5146$1080p
四川卫视,http://183.36.240.113:9901/udp/239.77.1.215:5146
四川卫视,http://183.36.240.113:9901/udp/239.77.1.30:5146
天津卫视,http://183.36.240.113:9901/udp/239.77.0.131:5146$1080p
天津卫视,http://183.36.240.113:9901/udp/239.77.0.52:5146
天津卫视,http://183.36.240.113:9901/udp/239.77.0.97:5146$1080p
天津卫视,http://183.36.240.113:9901/udp/239.77.1.141:5146
天津卫视,http://183.36.240.113:9901/udp/239.77.1.182:5146
天津卫视,http://183.36.240.113:9901/udp/239.77.1.37:5146
宁夏卫视,http://183.36.240.113:9901/udp/239.77.0.49:5146$1080p
宁夏卫视,http://183.36.240.113:9901/udp/239.77.0.73:5146$576p
宁夏卫视,http://183.36.240.113:9901/udp/239.77.1.246:5146
宁夏卫视,http://183.36.240.113:9901/udp/239.77.1.28:5146
安徽卫视,http://183.36.240.113:9901/udp/239.77.0.183:5146$1080p
安徽卫视,http://183.36.240.113:9901/udp/239.77.0.50:5146
安徽卫视,http://183.36.240.113:9901/udp/239.77.1.157:5146
安徽卫视,http://183.36.240.113:9901/udp/239.77.1.92:5146
山东卫视,http://183.36.240.113:9901/udp/239.77.0.132:5146$1080p
山东卫视,http://183.36.240.113:9901/udp/239.77.0.53:5146
山东卫视,http://183.36.240.113:9901/udp/239.77.0.94:5146$1080p
山东卫视,http://183.36.240.113:9901/udp/239.77.1.142:5146
山东卫视,http://183.36.240.113:9901/udp/239.77.1.153:5146
山东卫视,http://183.36.240.113:9901/udp/239.77.1.66:5146
山西卫视,http://183.36.240.113:9901/udp/239.77.0.69:5146$576p
山西卫视,http://183.36.240.113:9901/udp/239.77.1.74:5146
广西卫视,http://183.36.240.113:9901/udp/239.253.43.36:5146$1080p
广西卫视,http://183.36.240.113:9901/udp/239.77.0.139:5146$1080p
延边卫视,http://183.36.240.113:9901/udp/239.77.0.10:5146$576p
延边卫视,http://183.36.240.113:9901/udp/239.77.1.99:5146
新疆卫视,http://183.36.240.113:9901/udp/239.253.43.202:5146
新疆卫视,http://183.36.240.113:9901/udp/239.77.0.47:5146$1080p
新疆卫视,http://183.36.240.113:9901/udp/239.77.0.75:5146$576p
新疆卫视,http://183.36.240.113:9901/udp/239.77.1.25:5146
江苏卫视,http://183.36.240.113:9901/udp/239.77.0.126:5146$1080p
江苏卫视,http://183.36.240.113:9901/udp/239.77.0.7:5146$1080p
江苏卫视,http://183.36.240.113:9901/udp/239.77.0.90:5146$1080p
江苏卫视,http://183.36.240.113:9901/udp/239.77.1.149:5146
江苏卫视,http://183.36.240.113:9901/udp/239.77.1.18:5146
