河南电信-组播1,#genre#
CETV1,http://1.192.242.239:8188/rtp/239.16.10.12:2000$1080p
CETV1,http://1.192.242.239:8188/rtp/239.16.20.78:10780
CETV2,http://1.192.242.239:8188/rtp/239.16.10.99:2000$576p
CETV4,http://1.192.242.239:8188/rtp/239.16.20.223:12230
CGTN,http://1.192.242.239:8188/rtp/239.16.10.175:2000$1080p
CGTN,http://1.192.242.239:8188/rtp/239.16.20.252:12520
中华特产,http://1.192.242.239:8188/rtp/239.16.10.250:2000$1080p
中华特产,http://1.192.242.239:8188/rtp/239.16.20.132:11320
中央新影-老故事,http://1.192.242.239:8188/rtp/239.16.10.251:2000$576p
中央新影-中学生,http://1.192.242.239:8188/rtp/239.16.10.252:2000$576p
中央新影-发现之旅,http://1.192.242.239:8188/rtp/239.16.10.238:2000$576p
中央新影-老故事,http://1.192.242.239:8188/rtp/239.16.20.133:11330
CCTV4K,http://1.192.242.239:8188/rtp/239.16.11.1:2000$2160p
北京卫视4K,http://1.192.242.239:8188/rtp/239.16.10.192:2000$2160p
北京卫视4K,http://1.192.242.239:8188/rtp/239.16.20.216:12160$2160p
山东卫视4K,http://1.192.242.239:8188/rtp/239.16.20.242:12420$2160p
四川卫视4K,http://1.192.242.239:8188/rtp/239.16.11.29:2000$2160p
东方卫视4K,http://1.192.242.239:8188/rtp/239.16.11.24:2000$2160p
湖南卫视4K,http://1.192.242.239:8188/rtp/239.16.11.28:2000$2160p
浙江卫视4K,http://1.192.242.239:8188/rtp/239.16.11.26:2000$2160p
广东卫视4K,http://1.192.242.239:8188/rtp/239.16.11.23:2000$2160p
山东卫视4K,http://1.192.242.239:8188/rtp/239.16.11.27:2000$2160p
江苏卫视4K,http://1.192.242.239:8188/rtp/239.16.11.25:2000$2160p
深圳卫视4K,http://1.192.242.239:8188/rtp/239.16.11.22:2000$2160p
东南卫视,http://1.192.242.239:8188/rtp/239.16.10.16:2000$1080p
东南卫视,http://1.192.242.239:8188/rtp/239.16.20.82:10820
东方卫视,http://1.192.242.239:8188/rtp/239.16.10.7:2000$1080p
东方卫视,http://1.192.242.239:8188/rtp/239.16.20.73:10730
云南卫视,http://1.192.242.239:8188/rtp/239.16.10.19:2000$1080p
云南卫视,http://1.192.242.239:8188/rtp/239.16.20.85:10850
兵团卫视,http://1.192.242.239:8188/rtp/239.16.10.139:2000$1080p
内蒙古卫视,http://1.192.242.239:8188/rtp/239.16.10.25:2000$576p
内蒙古卫视,http://1.192.242.239:8188/rtp/239.16.20.91:10910
北京卫视,http://1.192.242.239:8188/rtp/239.16.10.10:2000$1080p
北京卫视,http://1.192.242.239:8188/rtp/239.16.20.76:10760
四川卫视,http://1.192.242.239:8188/rtp/239.16.10.20:2000$1080p
四川卫视,http://1.192.242.239:8188/rtp/239.16.20.86:10860
天津卫视,http://1.192.242.239:8188/rtp/239.16.10.30:2000$1080p
天津卫视,http://1.192.242.239:8188/rtp/239.16.20.96:10960
宁夏卫视,http://1.192.242.239:8188/rtp/239.16.10.26:2000$576p
宁夏卫视,http://1.192.242.239:8188/rtp/239.16.20.92:10920
安徽卫视,http://1.192.242.239:8188/rtp/239.16.10.9:2000$1080p
安徽卫视,http://1.192.242.239:8188/rtp/239.16.20.75:10750
山东卫视,http://1.192.242.239:8188/rtp/239.16.10.14:2000$1080p
山东卫视,http://1.192.242.239:8188/rtp/239.16.20.80:10800
山西卫视,http://1.192.242.239:8188/rtp/239.16.10.24:2000$1080p
山西卫视,http://1.192.242.239:8188/rtp/239.16.20.90:10900
广东卫视,http://1.192.242.239:8188/rtp/239.16.10.104:2000$1080p
广东卫视,http://1.192.242.239:8188/rtp/239.16.20.98:10980
广西卫视,http://1.192.242.239:8188/rtp/239.16.10.18:2000$1080p
广西卫视,http://1.192.242.239:8188/rtp/239.16.20.84:10840
江苏卫视,http://1.192.242.239:8188/rtp/239.16.10.8:2000$1080p
江苏卫视,http://1.192.242.239:8188/rtp/239.16.20.74:10740
江西卫视,http://1.192.242.239:8188/rtp/239.16.10.23:2000$1080p
江西卫视,http://1.192.242.239:8188/rtp/239.16.20.89:10890
吉林卫视,http://1.192.242.239:8188/rtp/239.16.10.28:2000$1080p
吉林卫视,http://1.192.242.239:8188/rtp/239.16.20.94:10940
新疆卫视,http://1.192.242.239:8188/rtp/239.16.10.27:2000$1080p
新疆卫视,http://1.192.242.239:8188/rtp/239.16.20.93:10930
河北卫视,http://1.192.242.239:8188/rtp/239.16.10.22:2000$1080p
河北卫视,http://1.192.242.239:8188/rtp/239.16.20.88:10880
浙江卫视,http://1.192.242.239:8188/rtp/239.16.10.5:2000$1080p
浙江卫视,http://1.192.242.239:8188/rtp/239.16.20.71:10710
海南卫视,http://1.192.242.239:8188/rtp/239.16.10.43:2000$1080p
海南卫视,http://1.192.242.239:8188/rtp/239.16.20.97:10970
深圳卫视,http://1.192.242.239:8188/rtp/239.16.10.11:2000$1080p
深圳卫视,http://1.192.242.239:8188/rtp/239.16.20.77:10770
