北京联通-组播1,#genre#
IPTV少儿动画,http://221.220.135.44:8012/rtp/239.3.1.199:9000
IPTV戏曲,http://221.220.135.44:8012/rtp/239.3.1.78:4120
IPTV早教,http://221.220.135.44:8012/rtp/239.3.1.79:4120
IPTV星影,http://221.220.135.44:8012/rtp/239.3.1.94:4120
IPTV武侠剧场,http://221.220.135.44:8012/rtp/239.3.1.90:4120
IPTV武术,http://221.220.135.44:8012/rtp/239.3.1.87:4120
IPTV热播剧场,http://221.220.135.44:8012/rtp/239.3.1.194:9020
IPTV爱生活,http://221.220.135.44:8012/rtp/239.3.1.86:4120
IPTV精选,http://221.220.135.44:8012/rtp/239.3.1.74:4120
IPTV美人,http://221.220.135.44:8012/rtp/239.3.1.73:4120
IPTV美妆,http://221.220.135.44:8012/rtp/239.3.1.72:4120
IPTV解密,http://221.220.135.44:8012/rtp/239.3.1.75:4120
IPTV足球,http://221.220.135.44:8012/rtp/239.3.1.89:4120
IPTV鉴赏,http://221.220.135.44:8012/rtp/239.3.1.82:4120
IPTV音乐现场,http://221.220.135.44:8012/rtp/239.3.1.70:4120
IPTV高网,http://221.220.135.44:8012/rtp/239.3.1.88:4120
IPTV魅力时尚,http://221.220.135.44:8012/rtp/239.3.1.196:9012
优购物,http://221.220.135.44:8012/rtp/239.3.1.180:8001
广播,http://221.220.135.44:8012/rtp/239.3.1.221:8001
聚鲨环球精选,http://221.220.135.44:8012/rtp/239.3.1.160:8001
聚鲨环球精选,http://221.220.135.44:8012/rtp/239.3.1.179:8001
央广购物,http://221.220.135.44:8012/rtp/239.3.1.222:8001
央广购物,http://221.220.135.44:8012/rtp/239.3.1.223:8001
家有购物,http://221.220.135.44:8012/rtp/239.3.1.185:8001
家有购物,http://221.220.135.44:8012/rtp/239.3.1.186:8001
北京联通-组播2,#genre#
北京联通-组播3,#genre#
