贵州电信-组播1,#genre#
安徽卫视,http://111.122.71.47:4000/rtp/238.255.2.101:5999$1080p
北京卫视,http://111.122.71.47:4000/rtp/238.255.2.81:5999$1080p
兵团卫视,http://111.122.71.47:4000/rtp/238.255.2.67:5999$1080p
东方卫视,http://111.122.71.47:4000/rtp/238.255.2.98:5999$1080p
东南卫视,http://111.122.71.47:4000/rtp/238.255.2.103:5999$1080p
甘肃卫视,http://111.122.71.47:4000/rtp/238.255.2.73:5999$1080p
广东卫视,http://111.122.71.47:4000/rtp/238.255.2.59:5999$1080p
广西卫视,http://111.122.71.47:4000/rtp/238.255.2.64:5999$576p
海南卫视,http://111.122.71.47:4000/rtp/238.255.2.58:5999$1080p
河北卫视,http://111.122.71.47:4000/rtp/238.255.2.77:5999$1080p
河南卫视,http://111.122.71.47:4000/rtp/238.255.2.74:5999$1080p
黑龙江卫视,http://111.122.71.47:4000/rtp/238.255.2.96:5999$1080p
湖北卫视,http://111.122.71.47:4000/rtp/238.255.2.102:5999$1080p
湖南卫视,http://111.122.71.47:4000/rtp/238.255.2.93:5999$1080p
吉林卫视,http://111.122.71.47:4000/rtp/238.255.2.95:5999$1080p
江苏卫视,http://111.122.71.47:4000/rtp/238.255.2.104:5999$1080p
江西卫视,http://111.122.71.47:4000/rtp/238.255.2.94:5999$1080p
康巴卫视,http://111.122.71.47:4000/rtp/238.255.2.140:5999$576p
辽宁卫视,http://111.122.71.47:4000/rtp/238.255.2.69:5999$1080p
宁夏卫视,http://111.122.71.47:4000/rtp/238.255.2.75:5999$1080p
农林卫视,http://111.122.71.47:4000/rtp/238.255.2.120:5999$576p
内蒙古卫视,http://111.122.71.47:4000/rtp/238.255.2.53:5999$1080p
青海卫视,http://111.122.71.47:4000/rtp/238.255.2.51:5999$1080p
三沙卫视,http://111.122.71.47:4000/rtp/238.255.2.203:5999$576p
厦门卫视,http://111.122.71.47:4000/rtp/238.255.2.205:5999$576p
山东卫视,http://111.122.71.47:4000/rtp/238.255.2.97:5999$1080p
山西卫视,http://111.122.71.47:4000/rtp/238.255.2.71:5999$576p
陕西卫视,http://111.122.71.47:4000/rtp/238.255.2.72:5999$1080p
深圳卫视,http://111.122.71.47:4000/rtp/238.255.2.61:5999$1080p
四川卫视,http://111.122.71.47:4000/rtp/238.255.2.76:5999$1080p
西藏藏语,http://111.122.71.47:4000/rtp/238.255.2.23:5999$576p
西藏卫视,http://111.122.71.47:4000/rtp/238.255.2.65:5999$1080p
新疆卫视,http://111.122.71.47:4000/rtp/238.255.2.66:5999$1080p
延边卫视,http://111.122.71.47:4000/rtp/238.255.2.204:5999$576p
延边卫视,http://111.122.71.47:4000/rtp/238.255.2.57:5999$576p
云南卫视,http://111.122.71.47:4000/rtp/238.255.2.63:5999$1080p
天津卫视,http://111.122.71.47:4000/rtp/238.255.2.99:5999$1080p
浙江卫视,http://111.122.71.47:4000/rtp/238.255.2.100:5999$1080p
重庆卫视,http://111.122.71.47:4000/rtp/238.255.2.78:5999$1080p
贵州卫视,http://111.122.71.47:4000/rtp/238.255.2.1:5999$1080p
贵州卫视,http://111.122.71.47:4000/rtp/238.255.2.147:5999$1080p
贵州大众生活,http://111.122.71.47:4000/rtp/238.255.2.4:5999$1080p
贵州公共,http://111.122.71.47:4000/rtp/238.255.2.2:5999$1080p
贵州经济,http://111.122.71.47:4000/rtp/238.255.2.9:5999$1080p
贵州影视文艺,http://111.122.71.47:4000/rtp/238.255.2.3:5999$1080p
贵州科教健康,http://111.122.71.47:4000/rtp/238.255.2.6:5999$1080p
贵州生态乡村,http://111.122.71.47:4000/rtp/238.255.2.5:5999$1080p
贵州移动电视,http://111.122.71.47:4000/rtp/238.255.2.117:5999$576p
贵州宣传,http://111.122.71.47:4000/rtp/238.255.2.141:5999$1080p
贵州宣传,http://111.122.71.47:4000/rtp/238.255.2.142:5999$1080p
贵州宣传,http://111.122.71.47:4000/rtp/238.255.2.163:5999$1080p
贵州宣传,http://111.122.71.47:4000/rtp/238.255.2.202:5999$1080p
贵州宣传3,http://111.122.71.47:4000/rtp/238.255.2.112:5999$1080p
贵州影视文艺,http://111.122.71.47:4000/rtp/238.255.2.159:5999$320p
贵州影视文艺,http://111.122.71.47:4000/rtp/238.255.2.183:5999$320p
贵州影视文艺,http://111.122.71.47:4000/rtp/238.255.2.187:5999$320p
贵州影视文艺,http://111.122.71.47:4000/rtp/238.255.2.200:5999$320p
多彩贵州,http://111.122.71.47:4000/rtp/238.255.2.206:5999$1080p
贵阳新闻综合,http://111.122.71.47:4000/rtp/238.255.2.19:5999$1080p
安顺新闻综合,http://111.122.71.47:4000/rtp/238.255.2.157:5999$1080p
毕节新闻综合,http://111.122.71.47:4000/rtp/238.255.2.131:5999$1080p
凯里综合,http://111.122.71.47:4000/rtp/238.255.2.180:5999$1080p
