四川移动-组播1,#genre#
雅安文化生活,http://183.222.15.202:4321/rtp/239.10.0.79:5140$1080p
宜宾新闻综合,http://183.222.15.202:4321/rtp/239.10.0.80:5140$1080p
宜宾科教文旅,http://183.222.15.202:4321/rtp/239.10.0.81:5140$1080p
资阳新闻综合,http://183.222.15.202:4321/rtp/239.10.0.82:5140$1080p
自贡综合,http://183.222.15.202:4321/rtp/239.10.0.83:5140$1080p
自贡文化生活,http://183.222.15.202:4321/rtp/239.10.0.84:5140$1080p
天府风尚美食,http://183.222.15.202:4321/rtp/239.10.0.137:5140$1080p
天府教育综合,http://183.222.15.202:4321/rtp/239.10.0.134:5140$1080p
天府辣妈学院,http://183.222.15.202:4321/rtp/239.10.0.136:5140$1080p
天府名医在线,http://183.222.15.202:4321/rtp/239.10.0.138:5140$1080p
天府魔力荟萃,http://183.222.15.202:4321/rtp/239.10.0.14:5140$1080p
天府足球联赛,http://183.222.15.202:4321/rtp/239.10.0.140:5140$1080p
BRTV纪实科教,http://183.222.15.202:4321/rtp/239.11.0.126:5140$1080p
BRTV卡酷少儿,http://183.222.15.202:4321/rtp/239.11.0.129:5140$576p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.10.0.151:5140$1080p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.10.0.186:5140$1080p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.10.0.245:5140$576p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.10.0.98:5140$1080p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.11.0.130:5140$576p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.11.0.65:5140$1080p
CCTV-1 综合,http://183.222.15.202:4321/rtp/239.11.0.69:5140$1080p
CCTV-2 财经,http://183.222.15.202:4321/rtp/239.11.0.108:5140$1080p
CCTV-3 综艺,http://183.222.15.202:4321/rtp/239.11.0.101:5140$1080p
CCTV-4 中文国际,http://183.222.15.202:4321/rtp/239.10.0.190:5140$1080p
CCTV-4 中文国际,http://183.222.15.202:4321/rtp/239.11.0.109:5140$1080p
CCTV-5 体育,http://183.222.15.202:4321/rtp/239.11.0.100:5140$1080p
CCTV-5+ 体育赛事,http://183.222.15.202:4321/rtp/239.11.0.241:5140$1080p
CCTV-6 电影,http://183.222.15.202:4321/rtp/239.11.0.102:5140$1080p
CCTV-7 国防军事,http://183.222.15.202:4321/rtp/239.11.0.110:5140$1080p
CCTV-8 电视剧,http://183.222.15.202:4321/rtp/239.11.0.103:5140$1080p
CCTV-9 纪录,http://183.222.15.202:4321/rtp/239.11.0.111:5140$1080p
CCTV-10 科教,http://183.222.15.202:4321/rtp/239.11.0.112:5140$1080p
CCTV-11 戏曲,http://183.222.15.202:4321/rtp/239.10.0.150:5140$1080p
CCTV-11 戏曲,http://183.222.15.202:4321/rtp/239.11.0.22:5140$1080p
CCTV-11 戏曲,http://183.222.15.202:4321/rtp/239.11.0.66:5140$576p
CCTV-12 社会与法,http://183.222.15.202:4321/rtp/239.11.0.113:5140$1080p
CCTV-13 新闻,http://183.222.15.202:4321/rtp/239.11.0.24:5140$1080p
CCTV-14 少儿,http://183.222.15.202:4321/rtp/239.11.0.114:5140$1080p
CCTV-15 音乐,http://183.222.15.202:4321/rtp/239.11.0.26:5140$1080p
CCTV-16 奥林匹克,http://183.222.15.202:4321/rtp/239.11.0.67:5140$2160p
CCTV-17 农业农村,http://183.222.15.202:4321/rtp/239.11.0.107:5140$1080p
CETV1,http://183.222.15.202:4321/rtp/239.11.0.139:5140$1080p
CETV2,http://183.222.15.202:4321/rtp/239.11.0.246:5140$576p
CETV4,http://183.222.15.202:4321/rtp/239.11.0.248:5140$1080p
CGTN,http://183.222.15.202:4321/rtp/239.11.0.245:5140$1080p
CGTN阿语,http://183.222.15.202:4321/rtp/239.11.0.81:5140$1080p
CGTN俄语,http://183.222.15.202:4321/rtp/239.11.0.82:5140$1080p
CGTN法语,http://183.222.15.202:4321/rtp/239.11.0.80:5140$1080p
CGTN纪录,http://183.222.15.202:4321/rtp/239.11.0.138:5140$1080p
CGTN西语,http://183.222.15.202:4321/rtp/239.11.0.79:5140$1080p
CHC动作电影,http://183.222.15.202:4321/rtp/239.10.0.87:5140$1080p
CHC家庭影院,http://183.222.15.202:4321/rtp/239.10.0.86:5140$1080p
CHC影迷电影,http://183.222.15.202:4321/rtp/239.10.0.88:5140$1080p
凤凰中文,http://183.222.15.202:4321/rtp/239.11.0.153:5140$1080p
凤凰资讯,http://183.222.15.202:4321/rtp/239.11.0.154:5140$1080p
CCTV4K,http://183.222.15.202:4321/rtp/239.11.0.61:5140$2160p
北京卫视4K,http://183.222.15.202:4321/rtp/239.10.0.91:5140$2160p
北京卫视4K,http://183.222.15.202:4321/rtp/239.10.0.92:5140$2160p
东方卫视4K,http://183.222.15.202:4321/rtp/239.11.0.90:5140$2160p
广东卫视4K,http://183.222.15.202:4321/rtp/239.10.0.94:5140$2160p
湖南卫视4K,http://183.222.15.202:4321/rtp/239.11.0.87:5140$2160p
江苏卫视4K,http://183.222.15.202:4321/rtp/239.11.0.88:5140$2160p
山东卫视4K,http://183.222.15.202:4321/rtp/239.11.0.91:5140$2160p
深圳卫视4K,http://183.222.15.202:4321/rtp/239.10.0.93:5140$2160p
四川卫视4K,http://183.222.15.202:4321/rtp/239.11.0.43:5140$2160p
四川卫视4K,http://183.222.15.202:4321/rtp/239.11.0.86:5140$2160p
浙江卫视4K,http://183.222.15.202:4321/rtp/239.11.0.89:5140$2160p
安多卫视,http://183.222.15.202:4321/rtp/239.11.0.124:5140$576p
安徽卫视,http://183.222.15.202:4321/rtp/239.11.0.117:5140$1080p
北京卫视,http://183.222.15.202:4321/rtp/239.11.0.121:5140$1080p
兵团卫视,http://183.222.15.202:4321/rtp/239.11.0.204:5140$1080p
东方卫视,http://183.222.15.202:4321/rtp/239.11.0.68:5140$1080p
东南卫视,http://183.222.15.202:4321/rtp/239.11.0.41:5140$1080p
甘肃卫视,http://183.222.15.202:4321/rtp/239.11.0.55:5140$1080p
广东卫视,http://183.222.15.202:4321/rtp/239.11.0.115:5140$1080p
广西卫视,http://183.222.15.202:4321/rtp/239.11.0.48:5140$1080p
贵州卫视,http://183.222.15.202:4321/rtp/239.11.0.51:5140$1080p
海南卫视,http://183.222.15.202:4321/rtp/239.11.0.193:5140$1080p
河北卫视,http://183.222.15.202:4321/rtp/239.11.0.31:5140$1080p
河南卫视,http://183.222.15.202:4321/rtp/239.11.0.44:5140$1080p
黑龙江卫视,http://183.222.15.202:4321/rtp/239.11.0.36:5140$1080p
湖北卫视,http://183.222.15.202:4321/rtp/239.11.0.74:5140$1080p
湖南卫视,http://183.222.15.202:4321/rtp/239.11.0.119:5140$1080p
吉林卫视,http://183.222.15.202:4321/rtp/239.11.0.35:5140$1080p
江苏卫视,http://183.222.15.202:4321/rtp/239.11.0.76:5140$1080p
江西卫视,http://183.222.15.202:4321/rtp/239.11.0.42:5140$1080p
康巴卫视,http://183.222.15.202:4321/rtp/239.11.0.10:5140$1080p
辽宁卫视,http://183.222.15.202:4321/rtp/239.11.0.118:5140$1080p
内蒙古卫视,http://183.222.15.202:4321/rtp/239.11.0.33:5140$1080p
宁夏卫视,http://183.222.15.202:4321/rtp/239.11.0.57:5140$1080p
青海卫视,http://183.222.15.202:4321/rtp/239.11.0.56:5140$576p
三沙卫视,http://183.222.15.202:4321/rtp/239.11.0.84:5140$576p
厦门卫视,http://183.222.15.202:4321/rtp/239.11.0.83:5140$576p
山东教育,http://183.222.15.202:4321/rtp/239.11.0.140:5140$576p
山东卫视,http://183.222.15.202:4321/rtp/239.11.0.73:5140$1080p
山西卫视,http://183.222.15.202:4321/rtp/239.11.0.32:5140$576p
陕西卫视,http://183.222.15.202:4321/rtp/239.11.0.54:5140$1080p
深圳卫视,http://183.222.15.202:4321/rtp/239.11.0.71:5140$1080p
天津卫视,http://183.222.15.202:4321/rtp/239.11.0.123:5140$1080p
西藏卫视,http://183.222.15.202:4321/rtp/239.11.0.53:5140$1080p
新疆卫视,http://183.222.15.202:4321/rtp/239.11.0.58:5140$1080p
