陕西电信-组播1,#genre#
CCTV-5 体育,http://1.83.123.170:8888/rtp/239.109.205.80:8576
CCTV-5 体育,http://1.83.123.170:8888/rtp/239.111.205.10:5140
CCTV-5 体育,http://1.83.123.170:8888/rtp/239.112.205.222:5140
CCTV-5 体育,http://1.83.123.170:8888/rtp/239.112.205.226:5140
CCTV-6 电影,http://1.83.123.170:8888/rtp/239.109.205.83:8600
CCTV-6 电影,http://1.83.123.170:8888/rtp/239.109.205.84:8608
CCTV-6 电影,http://1.83.123.170:8888/rtp/239.112.205.223:5140
CCTV-6 电影,http://1.83.123.170:8888/rtp/239.112.205.227:5140
CCTV-7 国防军事,http://1.83.123.170:8888/rtp/239.109.205.12:8024
CCTV-7 国防军事,http://1.83.123.170:8888/rtp/239.109.205.216:9702
CCTV-7 国防军事,http://1.83.123.170:8888/rtp/239.110.205.7:9774
CCTV-7 国防军事,http://1.83.123.170:8888/rtp/239.112.205.7:5140
CCTV-7 国防军事,http://1.83.123.170:8888/rtp/239.112.205.83:5140
CCTV-8 电视剧,http://1.83.123.170:8888/rtp/239.109.205.141:9028
CCTV-8 电视剧,http://1.83.123.170:8888/rtp/239.109.205.90:8656
CCTV-8 电视剧,http://1.83.123.170:8888/rtp/239.112.205.224:5140
CCTV-8 电视剧,http://1.83.123.170:8888/rtp/239.112.205.228:5140
CCTV-9 纪录,http://1.83.123.170:8888/rtp/239.110.205.1:9750
CCTV-9 纪录,http://1.83.123.170:8888/rtp/239.110.205.8:9778
CCTV-9 纪录,http://1.83.123.170:8888/rtp/239.112.205.85:5140
CCTV-9 纪录,http://1.83.123.170:8888/rtp/239.112.205.9:5140
CCTV-10 科教,http://1.83.123.170:8888/rtp/239.109.205.14:8040
CCTV-10 科教,http://1.83.123.170:8888/rtp/239.110.205.9:9782
CCTV-10 科教,http://1.83.123.170:8888/rtp/239.112.205.10:5140
CCTV-10 科教,http://1.83.123.170:8888/rtp/239.112.205.86:5140
CCTV-11 戏曲,http://1.83.123.170:8888/rtp/239.109.205.102:8752
CCTV-11 戏曲,http://1.83.123.170:8888/rtp/239.109.205.15:8048
CCTV-11 戏曲,http://1.83.123.170:8888/rtp/239.111.205.11:5140
CCTV-11 戏曲,http://1.83.123.170:8888/rtp/239.112.205.11:5140
CCTV-11 戏曲,http://1.83.123.170:8888/rtp/239.112.205.213:5140
CCTV-12 社会与法,http://1.83.123.170:8888/rtp/239.109.205.16:8056
CCTV-12 社会与法,http://1.83.123.170:8888/rtp/239.110.205.10:9786
CCTV-12 社会与法,http://1.83.123.170:8888/rtp/239.112.205.12:5140
CCTV-12 社会与法,http://1.83.123.170:8888/rtp/239.112.205.88:5140
CCTV-13 新闻,http://1.83.123.170:8888/rtp/239.109.205.17:8064
CCTV-13 新闻,http://1.83.123.170:8888/rtp/239.111.205.53:5140
CCTV-13 新闻,http://1.83.123.170:8888/rtp/239.112.205.13:5140
CCTV-14 少儿,http://1.83.123.170:8888/rtp/239.109.205.18:8072
CCTV-14 少儿,http://1.83.123.170:8888/rtp/239.110.205.20:9826
CCTV-14 少儿,http://1.83.123.170:8888/rtp/239.112.205.15:5140
CCTV-14 少儿,http://1.83.123.170:8888/rtp/239.112.205.91:5140
CCTV-15 音乐,http://1.83.123.170:8888/rtp/239.109.205.103:8760
CCTV-15 音乐,http://1.83.123.170:8888/rtp/239.109.205.19:8080
CCTV-15 音乐,http://1.83.123.170:8888/rtp/239.112.205.16:5140
CCTV-15 音乐,http://1.83.123.170:8888/rtp/239.112.205.214:5140
CCTV-16 奥林匹克,http://1.83.123.170:8888/rtp/239.111.205.133:5140
CCTV-16 奥林匹克,http://1.83.123.170:8888/rtp/239.111.205.134:5140
CCTV-17 农业农村,http://1.83.123.170:8888/rtp/239.109.205.81:8584
CCTV-17 农业农村,http://1.83.123.170:8888/rtp/239.109.205.88:8640
CCTV-17 农业农村,http://1.83.123.170:8888/rtp/239.112.205.210:5140
CCTV-17 农业农村,http://1.83.123.170:8888/rtp/239.112.205.211:5140
CCTV4K,http://1.83.123.170:8888/rtp/239.109.205.192:9608
CCTV4K,http://1.83.123.170:8888/rtp/239.111.205.38:5140
CCTV4K,http://1.83.123.170:8888/rtp/239.111.205.40:5140
CETV1,http://1.83.123.170:8888/rtp/239.109.205.47:8312
CETV1,http://1.83.123.170:8888/rtp/239.109.205.67:8472
CETV1,http://1.83.123.170:8888/rtp/239.109.205.78:8560
CETV1,http://1.83.123.170:8888/rtp/239.112.205.137:5140
CETV1,http://1.83.123.170:8888/rtp/239.112.205.201:5140
CETV2,http://1.83.123.170:8888/rtp/239.109.205.48:8320
CETV2,http://1.83.123.170:8888/rtp/239.111.205.168:5140
CETV4,http://1.83.123.170:8888/rtp/239.109.205.49:8328
CETV4,http://1.83.123.170:8888/rtp/239.109.205.64:8448
CETV4,http://1.83.123.170:8888/rtp/239.111.205.15:5140
CETV4,http://1.83.123.170:8888/rtp/239.111.205.169:5140
CGTN,http://1.83.123.170:8888/rtp/239.109.205.13:8032
CGTN,http://1.83.123.170:8888/rtp/239.110.205.78:7964
CGTN,http://1.83.123.170:8888/rtp/239.111.205.32:5140
CGTN,http://1.83.123.170:8888/rtp/239.112.205.14:5140
CGTN俄语,http://1.83.123.170:8888/rtp/239.111.205.87:5140
