北京移动-组播1,#genre#
北京淘电影,http://120.244.101.24:8822/rtp/228.1.1.124:8001
北京萌宠TV,http://120.244.101.24:8822/rtp/228.1.1.135:8002
通州综合,http://120.244.101.24:8822/rtp/228.1.1.139:8001
朝阳融媒,http://120.244.101.24:8822/rtp/228.1.1.140:8001
IPTV古装剧场,http://120.244.101.24:8822/rtp/228.1.1.150:4120
IPTV光影,http://120.244.101.24:8822/rtp/228.1.1.165:4120
IPTV军事,http://120.244.101.24:8822/rtp/228.1.1.157:4120
IPTV军旅剧场,http://120.244.101.24:8822/rtp/228.1.1.149:4120
IPTV动作影院,http://120.244.101.24:8822/rtp/228.1.1.173:4120
IPTV动画,http://120.244.101.24:8822/rtp/228.1.1.161:4120
IPTV台球,http://120.244.101.24:8822/rtp/228.1.1.166:4120
IPTV城市剧场,http://120.244.101.24:8822/rtp/228.1.1.148:4120
IPTV墨宝,http://120.244.101.24:8822/rtp/228.1.1.164:4120
IPTV大健康,http://120.244.101.24:8822/rtp/228.1.1.125:8001
IPTV好学生,http://120.244.101.24:8822/rtp/228.1.1.162:4120
IPTV家庭影院,http://120.244.101.24:8822/rtp/228.1.1.174:4120
IPTV少儿动画,http://120.244.101.24:8822/rtp/228.1.1.83:9000
IPTV戏曲,http://120.244.101.24:8822/rtp/228.1.1.159:4120
IPTV收视指南,http://120.244.101.24:8822/rtp/228.1.1.108:8012
IPTV早教,http://120.244.101.24:8822/rtp/228.1.1.160:4120
IPTV星影,http://120.244.101.24:8822/rtp/228.1.1.175:4120
IPTV武侠剧场,http://120.244.101.24:8822/rtp/228.1.1.171:4120
IPTV武术,http://120.244.101.24:8822/rtp/228.1.1.168:4120
IPTV每日影院,http://120.244.101.24:8822/rtp/228.1.1.120:8002
IPTV热播剧场,http://120.244.101.24:8822/rtp/228.1.1.88:9020
IPTV爱生活,http://120.244.101.24:8822/rtp/228.1.1.167:4120
IPTV精选,http://120.244.101.24:8822/rtp/228.1.1.155:4120
IPTV经典电影,http://120.244.101.24:8822/rtp/228.1.1.89:9024
IPTV美人,http://120.244.101.24:8822/rtp/228.1.1.154:4120
IPTV美妆,http://120.244.101.24:8822/rtp/228.1.1.153:4120
IPTV解密,http://120.244.101.24:8822/rtp/228.1.1.156:4120
IPTV足球,http://120.244.101.24:8822/rtp/228.1.1.170:4120
IPTV鉴赏,http://120.244.101.24:8822/rtp/228.1.1.163:4120
IPTV音乐现场,http://120.244.101.24:8822/rtp/228.1.1.151:4120
IPTV高网,http://120.244.101.24:8822/rtp/228.1.1.169:4120
IPTV魅力时尚,http://120.244.101.24:8822/rtp/228.1.1.86:9012
中国交通,http://120.244.101.24:8822/rtp/228.1.1.222:8002
体育赛事,http://120.244.101.24:8822/rtp/228.1.1.202:8002
喜剧影院,http://120.244.101.24:8822/rtp/228.1.1.172:4120
嘉佳卡通,http://120.244.101.24:8822/rtp/228.1.1.93:9268
国学频道,http://120.244.101.24:8822/rtp/228.1.1.158:4120
山东教育,http://120.244.101.24:8822/rtp/228.1.1.96:4120
幸福剧场,http://120.244.101.24:8822/rtp/228.1.1.133:8001
幸福娱乐,http://120.244.101.24:8822/rtp/228.1.1.128:8001
延庆综合,http://120.244.101.24:8822/rtp/228.1.1.219:8002
快乐垂钓,http://120.244.101.24:8822/rtp/228.1.1.144:8002
爱上4K,http://120.244.101.24:8822/rtp/228.1.1.38:2000
睛彩广场舞,http://120.244.101.24:8822/rtp/228.1.1.226:8002
睛彩竞技,http://120.244.101.24:8822/rtp/228.1.1.223:8002
睛彩篮球,http://120.244.101.24:8822/rtp/228.1.1.224:8002
睛彩羽毛球,http://120.244.101.24:8822/rtp/228.1.1.225:8002
财富天下,http://120.244.101.24:8822/rtp/228.1.1.90:9136
金鹰卡通,http://120.244.101.24:8822/rtp/228.1.1.92:9252
金鹰纪实,http://120.244.101.24:8822/rtp/228.1.1.34:8156
风尚生活,http://120.244.101.24:8822/rtp/228.1.1.152:4120



北京移动-组播2,#genre#
CCTV-1 综合,http://223.72.47.219:4022/rtp/228.1.1.28:8008
CCTV-2 财经,http://223.72.47.219:4022/rtp/228.1.1.24:8084
CCTV-3 综艺,http://223.72.47.219:4022/rtp/228.1.1.191:8002
CCTV-4 中文国际,http://223.72.47.219:4022/rtp/228.1.1.25:8092
CCTV-4 欧洲,http://223.72.47.219:4022/rtp/228.1.1.213:4220
CCTV-4 美洲,http://223.72.47.219:4022/rtp/228.1.1.203:4220
CCTV-5 体育,http://223.72.47.219:4022/rtp/228.1.1.192:8002
CCTV-5+ 体育赛事,http://223.72.47.219:4022/rtp/228.1.1.23:8004
CCTV-6 电影,http://223.72.47.219:4022/rtp/228.1.1.193:8002
CCTV-7 国防军事,http://223.72.47.219:4022/rtp/228.1.1.26:8104
CCTV-8 电视剧,http://223.72.47.219:4022/rtp/228.1.1.194:8002
CCTV-9 纪录,http://223.72.47.219:4022/rtp/228.1.1.27:8112
CCTV-10 科教,http://223.72.47.219:4022/rtp/228.1.1.29:8116
CCTV-11 戏曲,http://223.72.47.219:4022/rtp/228.1.1.182:8120
CCTV-12 社会与法,http://223.72.47.219:4022/rtp/228.1.1.30:8124
CCTV-13 新闻,http://223.72.47.219:4022/rtp/228.1.1.212:8128
CCTV-14 少儿,http://223.72.47.219:4022/rtp/228.1.1.31:8132
CCTV-15 音乐,http://223.72.47.219:4022/rtp/228.1.1.183:8136
CCTV-16 奥林匹克,http://223.72.47.219:4022/rtp/228.1.1.218:8002
CCTV-16 奥林匹克,http://223.72.47.219:4022/rtp/228.1.1.215:8002
CCTV-17 农业农村,http://223.72.47.219:4022/rtp/228.1.1.181:8144
CETV1,http://223.72.47.219:4022/rtp/228.1.1.32:8152
