湖南电信-组播1,#genre#
CCTV第一剧场,http://113.221.59.169:4000/rtp/239.76.254.49:9000
CCTV风云剧场,http://113.221.59.169:4000/rtp/239.76.254.50:9000
CCTV风云足球,http://113.221.59.169:4000/rtp/239.76.254.52:9000
CCTV风云音乐,http://113.221.59.169:4000/rtp/239.76.254.51:9000
CCTV高尔夫网球,http://113.221.59.169:4000/rtp/239.76.254.62:9000
CETV1,http://113.221.59.169:4000/rtp/239.76.245.192:1234$1080p
CETV1,http://113.221.59.169:4000/rtp/239.76.252.192:9000$1080p
CETV2,http://113.221.59.169:4000/rtp/239.76.245.253:1234$576p
CETV2,http://113.221.59.169:4000/rtp/239.76.252.253:9000$576p
CETV4,http://113.221.59.169:4000/rtp/239.76.245.254:1234$1080p
CETV4,http://113.221.59.169:4000/rtp/239.76.252.254:9000$1080p
CETV早期教育,http://113.221.59.169:4000/rtp/239.76.254.202:9000
CGTN,http://113.221.59.169:4000/rtp/239.76.245.66:1234$1080p
CGTN,http://113.221.59.169:4000/rtp/239.76.252.66:9000$1080p
CGTN俄语,http://113.221.59.169:4000/rtp/239.76.246.86:1234$1080p
CGTN俄语,http://113.221.59.169:4000/rtp/239.76.253.86:9000$1080p
CGTN法语,http://113.221.59.169:4000/rtp/239.76.246.87:1234$1080p
CGTN法语,http://113.221.59.169:4000/rtp/239.76.253.87:9000$1080p
CGTN纪录,http://113.221.59.169:4000/rtp/239.76.245.67:1234$1080p
CGTN纪录,http://113.221.59.169:4000/rtp/239.76.252.67:9000$1080p
CGTN西语,http://113.221.59.169:4000/rtp/239.76.246.88:1234$1080p
CGTN西语,http://113.221.59.169:4000/rtp/239.76.253.88:9000$1080p
CGTN阿语,http://113.221.59.169:4000/rtp/239.76.246.97:1234$1080p
CGTN阿语,http://113.221.59.169:4000/rtp/239.76.253.97:9000$1080p
CHC动作电影,http://113.221.59.169:4000/rtp/239.76.245.243:1234$1080p
CHC动作电影,http://113.221.59.169:4000/rtp/239.76.252.243:9000$1080p
CHC家庭影院,http://113.221.59.169:4000/rtp/239.76.245.241:1234$1080p
CHC家庭影院,http://113.221.59.169:4000/rtp/239.76.252.241:9000$1080p
CHC影迷电影,http://113.221.59.169:4000/rtp/239.76.245.242:1234$1080p
CHC影迷电影,http://113.221.59.169:4000/rtp/239.76.252.242:9000$1080p
中央新影-老故事,http://113.221.59.169:4000/rtp/239.76.246.76:1234$720p
中央新影-老故事,http://113.221.59.169:4000/rtp/239.76.253.76:9000$720p
中央新影-中学生,http://113.221.59.169:4000/rtp/239.76.254.27:9000
北京卫视4K,http://113.221.59.169:4000/rtp/239.76.246.150:1234$2160p
北京卫视4K,http://113.221.59.169:4000/rtp/239.76.246.246:1234$2160p
