上海电信-组播1,#genre#
上海都市,http://101.81.76.108:4022/rtp/233.18.204.53:5140$1080p
上海教育,http://101.81.76.108:4022/rtp/233.18.204.11:5140$576p
上海教育,http://101.81.76.108:4022/rtp/233.18.204.63:5140$1080p
东方影视,http://101.81.76.108:4022/rtp/233.18.204.4:5140$576p
东方影视,http://101.81.76.108:4022/rtp/233.18.204.55:5140$1080p
东方财经,http://101.81.76.108:4022/rtp/233.18.204.65:5140$1080p
东方购物,http://101.81.76.108:4022/rtp/233.18.204.10:5140$576p
东方购物,http://101.81.76.108:4022/rtp/233.18.204.61:5140$1080p
东方购物,http://101.81.76.108:4022/rtp/233.18.204.62:5140$1080p
东方购物,http://101.81.76.108:4022/rtp/233.18.204.9:5140$576p
乐游,http://101.81.76.108:4022/rtp/233.18.204.47:5140$1080p
五星体育,http://101.81.76.108:4022/rtp/233.18.204.58:5140$1080p
五星体育,http://101.81.76.108:4022/rtp/233.18.204.6:5140$576p
动漫秀场,http://101.81.76.108:4022/rtp/233.18.204.46:5140$1080p
哈哈炫动,http://101.81.76.108:4022/rtp/233.18.204.54:5140$1080p
哈哈炫动,http://101.81.76.108:4022/rtp/233.18.204.7:5140$576p
生活时尚,http://101.81.76.108:4022/rtp/233.18.204.45:5140$1080p
都市剧场,http://101.81.76.108:4022/rtp/233.18.204.48:5140$1080p
第一财经,http://101.81.76.108:4022/rtp/233.18.204.59:5140$1080p
第一财经,http://101.81.76.108:4022/rtp/233.18.204.5:5140$576p
游戏风云,http://101.81.76.108:4022/rtp/233.18.204.13:5140$576p
游戏风云,http://101.81.76.108:4022/rtp/233.18.204.44:5140$1080p
金色学堂,http://101.81.76.108:4022/rtp/233.18.204.14:5140$576p
金色学堂,http://101.81.76.108:4022/rtp/233.18.204.66:5140$1080p
多彩文体,http://101.81.76.108:4022/rtp/233.18.204.115:5140$2160p
多彩文体,http://101.81.76.108:4022/rtp/233.18.204.205:5140$2160p
多彩文体,http://101.81.76.108:4022/rtp/233.18.204.50:5140$1080p
天翼4K,http://101.81.76.108:4022/rtp/233.18.204.201:5140$2160p
东方卫视4K,http://101.81.76.108:4022/rtp/233.18.204.224:5140$2160p
北京卫视4K,http://101.81.76.108:4022/rtp/233.18.204.209:5140$2160p
四川卫视4K,http://101.81.76.108:4022/rtp/233.18.204.225:5140
山东卫视4K,http://101.81.76.108:4022/rtp/233.18.204.228:5140$2160p
广东卫视4K,http://101.81.76.108:4022/rtp/233.18.204.218:5140$2160p
江苏卫视4K,http://101.81.76.108:4022/rtp/233.18.204.226:5140$2160p
浙江卫视4K,http://101.81.76.108:4022/rtp/233.18.204.229:5140$2160p
深圳卫视4K,http://101.81.76.108:4022/rtp/233.18.204.219:5140$2160p
湖南卫视4K,http://101.81.76.108:4022/rtp/233.18.204.227:5140$2160p
三沙卫视,http://101.81.76.108:4022/rtp/233.18.204.149:5140$576p
三沙卫视,http://101.81.76.108:4022/rtp/233.18.204.172:5140$1080p
东南卫视,http://101.81.76.108:4022/rtp/233.18.204.128:5140$576p
东南卫视,http://101.81.76.108:4022/rtp/233.18.204.94:5140$1080p
东方卫视,http://101.81.76.108:4022/rtp/233.18.204.1:5140$576p
