河北电信-组播1,#genre#
广西卫视,http://106.112.254.144:8989/rtp/239.254.200.80:8300
新疆卫视,http://106.112.254.144:8989/rtp/239.254.200.89:8160
江苏卫视,http://106.112.254.144:8989/rtp/239.254.200.51:8028
江西卫视,http://106.112.254.144:8989/rtp/239.254.201.12:6290
河南卫视,http://106.112.254.144:8989/rtp/239.254.201.16:7174
浙江卫视,http://106.112.254.144:8989/rtp/239.254.200.53:8036
海南卫视,http://106.112.254.144:8989/rtp/239.254.201.125:6288
深圳卫视,http://106.112.254.144:8989/rtp/239.254.200.50:8020
湖北卫视,http://106.112.254.144:8989/rtp/239.254.200.164:6000
湖南卫视,http://106.112.254.144:8989/rtp/239.254.200.48:8012
甘肃卫视,http://106.112.254.144:8989/rtp/239.254.200.90:8188
西藏卫视,http://106.112.254.144:8989/rtp/239.254.200.88:8164
贵州卫视,http://106.112.254.144:8989/rtp/239.254.201.20:6315
辽宁卫视,http://106.112.254.144:8989/rtp/239.254.200.57:8056
重庆卫视,http://106.112.254.144:8989/rtp/239.254.200.203:6323
陕西卫视,http://106.112.254.144:8989/rtp/239.254.200.82:8140
青海卫视,http://106.112.254.144:8989/rtp/239.254.200.85:8184
黑龙江卫视,http://106.112.254.144:8989/rtp/239.254.200.49:8016
河北卫视,http://106.112.254.144:8989/rtp/239.254.200.174:6000
河北三农,http://106.112.254.144:8989/rtp/239.254.200.23:6000
河北少儿科教,http://106.112.254.144:8989/rtp/239.254.200.21:6000
河北文旅体育 ,http://106.112.254.144:8989/rtp/239.254.200.20:6000
河北经济生活,http://106.112.254.144:8989/rtp/239.254.200.18:6000
河北都市,http://106.112.254.144:8989/rtp/239.254.200.19:6000
九屏直播,http://106.112.254.144:8989/rtp/239.254.200.248:6000
沧州新闻综合,http://106.112.254.144:8989/rtp/239.254.200.42:6000
沧州公共,http://106.112.254.144:8989/rtp/239.254.200.43:6000
沧州影视娱乐,http://106.112.254.144:8989/rtp/239.254.200.44:6000
三河综合,http://106.112.254.144:8989/rtp/239.254.201.113:5315
东光综合,http://106.112.254.144:8989/rtp/239.254.201.76:5331
丰宁综合,http://106.112.254.144:8989/rtp/239.254.200.5:5290
丰润新闻综合,http://106.112.254.144:8989/rtp/239.254.201.58:5197
丰南综合,http://106.112.254.144:8989/rtp/239.254.200.218:5186
乐亭综合,http://106.112.254.144:8989/rtp/239.254.201.107:5200
临漳综合,http://106.112.254.144:8989/rtp/239.254.201.73:5221
井陉矿区综合,http://106.112.254.144:8989/rtp/239.254.201.14:5175
井陉综合,http://106.112.254.144:8989/rtp/239.254.201.215:6167
任县综合,http://106.112.254.144:8989/rtp/239.254.201.115:5381
保定新闻综合,http://106.112.254.144:8989/rtp/239.254.200.144:6000
保定民生,http://106.112.254.144:8989/rtp/239.254.200.146:6000
元氏综合,http://106.112.254.144:8989/rtp/239.254.200.191:5169
兴隆综合,http://106.112.254.144:8989/rtp/239.254.201.95:5295
冀州综合,http://106.112.254.144:8989/rtp/239.254.200.179:5346
内丘综合,http://106.112.254.144:8989/rtp/239.254.201.77:5380
南和综合,http://106.112.254.144:8989/rtp/239.254.201.72:6000
南宫综合,http://106.112.254.144:8989/rtp/239.254.201.48:5371
南皮综合,http://106.112.254.144:8989/rtp/239.254.201.119:5335
卢龙综合,http://106.112.254.144:8989/rtp/239.254.201.216:5233
双滦新闻,http://106.112.254.144:8989/rtp/239.254.201.63:5293
吴桥综合,http://106.112.254.144:8989/rtp/239.254.201.138:5337
唐县综合,http://106.112.254.144:8989/rtp/239.254.201.41:5264
唐山新闻综合,http://106.112.254.144:8989/rtp/239.254.200.166:6000
唐山生活服务,http://106.112.254.144:8989/rtp/239.254.200.167:6000
唐山公共,http://106.112.254.144:8989/rtp/239.254.200.169:6000
唐山影视,http://106.112.254.144:8989/rtp/239.254.200.168:6000
