山西电信-组播1,#genre#
书画,http://110.178.145.69:8188/rtp/239.1.1.88:8088
优优宝贝,http://110.178.145.69:8188/rtp/239.1.1.114:8114
优漫卡通,http://110.178.145.69:8188/rtp/239.1.1.72:8072
优购物,http://110.178.145.69:8188/rtp/239.1.1.115:8115
凤凰中文,http://110.178.145.69:8188/rtp/239.1.1.126:8126
凤凰资讯,http://110.178.145.69:8188/rtp/239.1.1.127:8127
动漫秀场,http://110.178.145.69:8188/rtp/239.1.1.80:8080
嘉佳卡通,http://110.178.145.69:8188/rtp/239.1.1.68:8068
四海钓鱼,http://110.178.145.69:8188/rtp/239.1.1.111:8111
山东教育,http://110.178.145.69:8188/rtp/239.1.1.74:8074
快乐垂钓,http://110.178.145.69:8188/rtp/239.1.1.86:8086
法治天地,http://110.178.145.69:8188/rtp/239.1.1.79:8079
游戏风云,http://110.178.145.69:8188/rtp/239.1.1.83:8083
环球奇观,http://110.178.145.69:8188/rtp/239.1.1.98:8098
环球旅游,http://110.178.145.69:8188/rtp/239.1.1.116:8116
生活时尚,http://110.178.145.69:8188/rtp/239.1.1.76:8076
财富天下,http://110.178.145.69:8188/rtp/239.1.1.113:8113
都市剧场,http://110.178.145.69:8188/rtp/239.1.1.81:8081
重庆汽摩,http://110.178.145.69:8188/rtp/239.1.1.92:8092
金色学堂,http://110.178.145.69:8188/rtp/239.1.1.82:8082
金鹰卡通,http://110.178.145.69:8188/rtp/239.1.1.61:8061
金鹰纪实,http://110.178.145.69:8188/rtp/239.1.1.63:8063

