宁夏电信-组播1,#genre#
江苏卫视,http://111.113.150.188:9999/rtp/239.121.5.171:8028
江西卫视,http://111.113.150.188:9999/rtp/239.121.4.35:8184
江西卫视,http://111.113.150.188:9999/rtp/239.121.5.76:8164
河北卫视,http://111.113.150.188:9999/rtp/239.121.4.39:8208
河北卫视,http://111.113.150.188:9999/rtp/239.121.4.76:8430
河北卫视,http://111.113.150.188:9999/rtp/239.121.5.157:5550
河南卫视,http://111.113.150.188:9999/rtp/239.121.4.40:8214
河南卫视,http://111.113.150.188:9999/rtp/239.121.5.138:8128
浙江卫视,http://111.113.150.188:9999/rtp/239.121.4.116:8678
浙江卫视,http://111.113.150.188:9999/rtp/239.121.4.29:8148
浙江卫视,http://111.113.150.188:9999/rtp/239.121.5.177:8036
海南卫视,http://111.113.150.188:9999/rtp/239.121.4.50:8274
海南卫视,http://111.113.150.188:9999/rtp/239.121.5.42:8304
深圳卫视,http://111.113.150.188:9999/rtp/239.121.4.119:8696
深圳卫视,http://111.113.150.188:9999/rtp/239.121.4.54:8298
深圳卫视,http://111.113.150.188:9999/rtp/239.121.5.174:8020
湖北卫视,http://111.113.150.188:9999/rtp/239.121.4.126:8738
湖北卫视,http://111.113.150.188:9999/rtp/239.121.4.34:8178
湖北卫视,http://111.113.150.188:9999/rtp/239.121.5.176:8044
湖南卫视,http://111.113.150.188:9999/rtp/239.121.4.114:8666
湖南卫视,http://111.113.150.188:9999/rtp/239.121.4.33:8172
湖南卫视,http://111.113.150.188:9999/rtp/239.121.5.172:8012
甘肃卫视,http://111.113.150.188:9999/rtp/239.121.4.25:8124
甘肃卫视,http://111.113.150.188:9999/rtp/239.121.5.83:8188
西藏卫视,http://111.113.150.188:9999/rtp/239.121.4.56:8310
西藏卫视,http://111.113.150.188:9999/rtp/239.121.5.247:8164
贵州卫视,http://111.113.150.188:9999/rtp/239.121.4.49:8268
贵州卫视,http://111.113.150.188:9999/rtp/239.121.4.65:8364
贵州卫视,http://111.113.150.188:9999/rtp/239.121.5.111:2000
辽宁卫视,http://111.113.150.188:9999/rtp/239.121.4.163:8962
辽宁卫视,http://111.113.150.188:9999/rtp/239.121.4.42:8226
辽宁卫视,http://111.113.150.188:9999/rtp/239.121.5.183:8056
重庆卫视,http://111.113.150.188:9999/rtp/239.121.4.36:8190
重庆卫视,http://111.113.150.188:9999/rtp/239.121.5.72:8160
陕西卫视,http://111.113.150.188:9999/rtp/239.121.4.38:8202
陕西卫视,http://111.113.150.188:9999/rtp/239.121.4.77:8436
陕西卫视,http://111.113.150.188:9999/rtp/239.121.5.210:8140
青海卫视,http://111.113.150.188:9999/rtp/239.121.4.55:8304
青海卫视,http://111.113.150.188:9999/rtp/239.121.5.24:8184
黑龙江卫视,http://111.113.150.188:9999/rtp/239.121.4.120:8702
黑龙江卫视,http://111.113.150.188:9999/rtp/239.121.4.44:8238
黑龙江卫视,http://111.113.150.188:9999/rtp/239.121.5.173:8016
七彩戏剧,http://111.113.150.188:9999/rtp/239.121.4.73:8412
中国天气,http://111.113.150.188:9999/rtp/239.121.4.112:8654
中国天气,http://111.113.150.188:9999/rtp/239.121.5.112:5140
乐游,http://111.113.150.188:9999/rtp/239.121.4.69:8388
乐游,http://111.113.150.188:9999/rtp/239.121.5.69:5140
